timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,99.05,99.5,0,99.3,98.79,99.4,99.5
1.02,86.92,66.06,0,82.88,93.37,65.18,82.76
1.03,97.96,97.09,5.91,72.4,89.95,99.9,76.78
1.04,85.2,99.2,0.1,98.79,99.9,42.99,99.7
1.05,56.92,85.34,0.1,88.21,78.77,41.62,85.71
1.06,64.52,0.2,13.14,0.1,0.2,17.74,0.1
1.07,78.94,0,30.13,0.2,0,32.3,0.2
1.08,58.1,0,40.74,0,0,38.36,0
1.09,2.98,0,45.22,0,0,41.05,0
1.1,29.15,0,47.43,0,0,44.25,0
1.11,39.73,0,8.85,0.1,0,40,0
1.12,71.9,0,0.1,0,0,30.43,0
1.13,37.84,0.2,0,0,0.1,31.11,0.1
1.14,57.07,0,0,0,0,33.97,0
1.15,43.47,0,0,0,0,36.2,0
1.16,45.29,0,0,0.1,0,44.66,0
1.17,45.84,20.44,0.3,13.35,19.06,39.7,11.91
1.18,66.46,0.2,0,0.1,0.1,51.16,0.1
1.19,42.69,0.2,0,0.3,0.1,39.21,0
1.2,46.7,0,0,0,0,98.79,0
1.21,45.48,0,0,0,0,98.39,0
1.22,51.2,0,2.5,1.3,0.2,98.39,0
1.23,45.34,0,0.1,0,0,92.32,0
1.24,82.02,0,0,0,0,98.69,0.1
1.25,51.81,0,2.8,0.1,0,98.18,0
1.26,41.15,0,0,0.1,0,98.79,0
1.27,44.53,0,0,0,0,99.09,0
1.28,51.42,0,0,0,0.1,98.39,0.3
1.29,48.07,28.28,0,19.34,12.05,83.28,7.72
1.3,66.63,17.97,0,56.77,0,69.1,0
1.31,48.72,0,0,0,0.1,96.42,0
1.32,39.65,0,0,0.1,18.24,96.49,57.03
1.33,47.21,18.3,0,53.97,24.47,96.21,98.99
1.34,48.68,47.18,0,97.17,46.32,97.04,98.69
1.35,76.84,44.58,0,98.79,44.38,97.88,98.99
1.36,42.93,26.89,8.83,97.99,49.9,88.4,96.15
1.37,71.62,1.71,43.71,13.72,13.48,35.29,15.78
1.38,58.44,0,66.97,0.2,0.1,36.85,0.1
1.39,47.64,0,95.28,0,0.1,41.21,0
1.4,52.37,0.1,99.9,0,0,40.89,0.1
1.41,56.51,0,99.7,0,0.2,40.06,0
1.42,54.6,0.2,95.77,0,0,42.71,0
1.43,44.39,0,57.4,0,0,45.69,0
1.44,48.95,0,36.15,0.1,0,20.57,0
1.45,48.28,0,18.42,0,0,38.63,0
1.46,83.21,0,34.44,0.1,0,29.94,0
1.47,89.12,0,35.69,0.1,0,38.91,0
1.48,99.82,7.52,41.81,10.24,1.1,37.93,1.4
1.49,99.72,0,42.34,0,0.1,40.06,0.1
1.5,99.8,3.19,23.73,0.1,0,40,0
1.51,99.52,0,34.68,0,0.6,40.49,0
1.52,99.75,0,36.57,0.1,0,9.49,0
1.53,69.58,0.2,38.87,0,0,42.94,0
1.54,45.74,0,28.08,0,0.1,20.04,0
1.55,58.15,0,37.26,0,0,42.41,0
1.56,70.26,0,98.59,0,0,37.96,0
