timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,0.73,0,0,0.1,0,0,0
1.02,12.25,26.36,0.1,13.9,0.1,27.02,10.99
1.03,1.41,2.71,0,22.4,9.75,0.1,22.91
1.04,0,0.1,0,0,0,0.3,0
1.05,0,0.1,0,0,7.55,0.51,0
1.06,6.49,0,0,0,0,0,0.1
1.07,0.03,0,11.02,0,0,0.1,0
1.08,4.89,0,0,0,0,0,0
1.09,2.98,0,0,0,0,0,0
1.1,1.11,0,0,0,0,0,0
1.11,0.76,0,0,0,0,8.94,0
1.12,0,0,0,0,0,10.62,0
1.13,32.19,0,0,0,0,0,0
1.14,32.87,0,0,0,0,0,0
1.15,35.81,0,0,0,0,0.1,0
1.16,36.87,0,0,0,0,0,0
1.17,43.75,0,0,0,0,0,0
1.18,6.76,0,0,0,0,0,0.1
1.19,21.56,0,0,0,0,0,0
1.2,36.64,0,0,0,0,0,0
1.21,41.98,0,0.1,0,0,0,0
1.22,35.5,0.1,0,7.21,6.3,0.1,0
1.23,40.67,0,0,0,0,5.66,0
1.24,9.09,0,0,0,0,0,0
1.25,9.47,0,0,0,0,0,0
1.26,42.74,0,0,0,0,0.1,0
1.27,41.59,0,0,0,0,0,0
1.28,36.57,0,0,0,0,0,6.89
1.29,35.84,0,0,0,0.1,0,0
1.3,1.86,0,0,0,0,0.1,0
1.31,37.24,0,0,0,0,0,0.1
1.32,44.21,0,0,0,0,0,0
1.33,41.52,1.2,0,3.32,11.58,0,0
1.34,37.94,0,0,0,0,0,0
1.35,6.81,0.1,0,0,0,0.1,0
1.36,26.08,0,0,0,0,8.58,2.23
1.37,25.24,0,0.2,0,0,0,0.1
1.38,18.43,0,0.1,0.1,0,0,0
1.39,40.51,0.1,4.42,0,0,0,0
1.4,32.63,0,0,0,0,0,0
1.41,7.99,0,0.1,0,0,0,0
1.42,36.11,0,3.82,0,0,0.1,0
1.43,38.23,0,0.1,0,0,0,0
1.44,38.32,0,0.2,0,0,1.93,0
1.45,37.26,0,0,0,0,0,0
1.46,0,0,0,0,0,0,0
1.47,0.03,0,0,0,0,2.46,0
1.48,0,0,0.1,0,0,0.1,0
1.49,0,0,0,0,0,0,0
1.5,0,0,0,0.1,0,1.41,0
1.51,0.03,0,0,0,0,0.1,0
1.52,0,0,0,0,0,4.94,0
1.53,17.96,0,0,0,0.1,2.62,0
1.54,39.74,0,6.36,0,0,0.1,0
1.55,28.82,0,27.01,0,0,0,0
1.56,24.88,0,0,0,0,3.34,0
1.57,28.71,0,0,0,0,0,0
1.58,0,0,0,0,0,0,0
1.59,30.39,0,0,0,0,2.12,0
1.6,41.05,0,0.1,0,0,0,0
1.61,35.4,0,0,0,0,9.78,0
1.62,42.3,0,0,0,0,0.1,0
1.63,18.71,0.3,0,0.2,0.3,0,0.1
1.64,8.96,0,0,0,0,9.56,0.2
1.65,42.53,4.32,0,21.85,10.65,0,5.27
1.66,36.2,13.86,0,0,0,0,0
1.67,37.36,0,0.1,0,4.62,1.74,0
1.68,28.5,0,2.03,0,0,10.67,0
1.69,30.38,0,0.71,0,0.1,0,0
1.7,40.44,0,0,0.1,0,0,0
1.71,37.73,0,0,0,0,0,0
1.72,38.27,0,0,0,0,0,0
1.73,17.16,0,0,0,0,0,0
1.74,36.21,0,0,0,0,0,0
1.75,8.2,0,0,0,0,0,0
1.76,24.28,0,0,0,0,0,0
1.77,22.38,0,0,0,0,0,0
1.78,18.86,0,0.1,0,0,0,0.1
1.79,23.79,0,0,0,0,6.79,0
1.8,6.28,0,0,0,0,0,0
1.81,27.53,0,0,0,0,0,0
1.82,40.7,0,0,0,0,0,0
1.83,2.4,0.1,0,0,0,0,0
1.84,0.03,3.61,0.1,0,0,0,0
1.85,0.08,26.79,0,0,0,0,0
1.86,23.56,0,0.3,0,0,0,0
1.87,26.06,0,0.5,0,0,0.1,0
1.88,5.18,0,0,0,0.1,0,0
1.89,23.91,0,0.1,0,0,0,0
1.9,37.42,0.1,0,0,0,0,0
1.91,5.34,0.51,0,0,0,0,0
1.92,6.22,0,0,0,0,0,2.61
1.93,35.75,0,0,0,0,0.4,1.62
1.94,7.98,2.32,0,0,0,0,0
1.95,18.48,0.1,0,0.1,0,0,0.1
1.96,34.09,4.44,0,0,0,0,2.43
1.97,0.75,0.1,0.1,0,0,0,0
1.98,0,2.51,0,0,0,0,1.1
1.99,0.75,0,0,0,0,0,0
2,38.8,0,0,0,0,0,2.61
2.01,32.72,0,10.98,1.3,0.1,0,0
2.02,36.49,0,0,0,0,0,0
2.03,38.97,0,0,0,0,0,0
2.04,9.65,0,0,0,0,0.1,0
2.05,35.54,0,0,0,0,0,0
2.06,8.26,0,0,0,0,0,0.1
2.07,36.03,0.1,0.1,0,0,0,0
2.08,39.67,0,0,0,0,0,0
2.09,14.36,0,0,0,0,0,0
2.1,0.03,0,0,0,0.1,0,0
2.11,9.96,0.1,0.1,0,0,0,0
2.12,16.23,0,0,0.1,0,0,0
2.13,27.16,0,0,0,0,0,0.1
2.14,37.68,0,0.2,0,0,0,0
2.15,26.95,0,0,0,0,0,0
2.16,22.82,6.1,0,2.8,0,0,0
2.17,13.77,9.26,0,0,0,0,28.6
2.18,14.46,0.1,0,0,0,0,11.65
2.19,32.8,0,0,0,0,0,0
