timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,0.08,0.2,2,0.2,0.4,0.2,0.2
1.02,0.3,2.02,1.9,1.41,1.81,1.52,1.71
1.03,0.18,0,3,1.63,0.1,0,0.2
1.04,1.87,0.2,3.6,0.2,0,2.22,0.1
1.05,1.76,1.31,2.5,1.01,1.31,2.42,1.01
1.06,1.31,2.3,1.6,2.2,2.6,2.32,2.7
1.07,1.85,2.1,1.21,2.6,2.21,0.8,2
1.08,3.88,1.7,0.8,1.7,1.8,1.11,1.8
1.09,6.85,0.6,0.81,0.9,0.7,1.01,0.9
1.1,8.34,2,1.11,2.3,1.5,0.91,1.4
1.11,3.95,1.4,3.62,1.3,1.2,1.71,1.2
1.12,3.06,1.4,2.9,1.1,1.2,2.12,1.5
1.13,4.48,0.8,2.8,1.2,1,1.21,0.4
1.14,4.17,1.8,2.3,1.5,1.6,0.5,1.9
1.15,4.42,1.8,1.8,2.4,2,1.01,2.5
1.16,2.7,2.3,2,2.4,2.5,0.81,1.6
1.17,1.25,3.21,1.9,3.01,2.91,1.61,3.4
1.18,0.58,2.3,2.2,2.3,2.4,2.32,2.51
1.19,1.45,2.6,2.9,3.1,2.2,2.02,1
1.2,0.84,1.7,2.4,2.3,1.3,0.1,1.6
1.21,1.02,0.8,2.5,1,1.3,0.2,1.1
1.22,0.89,2,3.5,1.7,1.7,0.1,1.6
1.23,0.74,1.1,4,1.6,1.2,0.4,0.9
1.24,0.38,0.9,3,0.7,1.3,0.2,1.6
1.25,0.91,1,3.4,1.3,0.8,0.2,0.8
1.26,0.69,1.2,1.9,1,1.4,0.3,2.3
1.27,0.9,2.4,2.6,1.8,1.7,0.1,2.3
1.28,0.89,2.2,2.3,2.2,2.5,0.3,2.8
1.29,0.84,2.31,2,2.61,3.82,0.81,3.01
1.3,0.38,3.11,1.6,2.41,3.7,1.11,3.5
1.31,1.15,1.8,1.9,3.61,2.5,0.51,2.3
1.32,0.77,2.4,1.7,3.2,1.2,0.52,1.41
1.33,0.82,1.2,2.5,1.31,1.11,0.62,0.1
1.34,0.9,0.71,2.5,0.3,0.91,0.41,0.1
1.35,0.45,1.41,2.5,0.2,1,0.2,0.2
1.36,1.15,2.42,3.11,0.2,1.81,0.2,0.2
1.37,0.43,3.02,1.72,2.42,3.32,1.62,2.01
1.38,1.54,2.2,1.31,2.3,3.2,1.73,2.3
1.39,0.67,2.2,0.1,1.7,2.6,2.02,2.2
1.4,0.76,2,0,1.7,2.4,1.91,1.4
1.41,0.61,2.1,0.2,2.5,2,2.13,2.2
1.42,0.82,2.1,0,2.1,2.3,2.14,1.9
1.43,0.79,2.1,2.52,2.4,2.2,2.53,1.8
1.44,0.79,2.2,1.91,2,2.6,3.34,2.8
1.45,0.64,2.2,2.33,3,2.2,1.71,1.9
1.46,0.18,2.6,0.7,1.6,2.8,2.12,2.6
1.47,0.1,2.4,1.42,2.2,1.9,2.05,2.8
1.48,0.1,2.71,1.71,3.82,3,1.71,3.51
1.49,0.05,3.3,3.12,4.1,3.11,2.14,3.6
1.5,0.05,4.09,1.42,3.6,3,2.22,3
1.51,0.08,3.41,0.91,2.4,3.6,2.24,3.7
1.52,0.03,2.8,0.91,2.1,3,3.73,1.5
1.53,1.01,2.7,2.22,2.5,2.4,1.71,2
1.54,1.03,1.9,3.33,2.3,2.4,3.02,2
1.55,0.76,2.4,1.52,2.5,2,1.94,2
1.56,0.73,2.3,0,2.4,2.1,2.33,1.8
1.57,0.51,2.6,0.2,2.1,2.2,2.23,2
1.58,0.18,1.9,0.2,2.7,2.4,1.92,2.2
1.59,1,2.2,0.2,2.9,1.8,2.52,2.3
1.6,0.9,2.6,0,2.3,1.9,3.96,2.3
1.61,0.87,1.9,0.2,1.9,2.2,1.81,2.3
1.62,0.7,2,1.43,2,2.81,1.52,3.31
1.63,0.64,2.74,0.3,1.01,1.62,1.92,3.23
1.64,0.61,0.2,0.1,0,0.5,1.83,2.22
1.65,0.97,0.2,0.1,0.3,0.1,2.45,1.42
1.66,0.97,0.2,0.3,0,0.2,1.62,1.62
1.67,0.64,0,0.3,0,0,2.25,1.82
1.68,0.89,0.1,0.3,0.1,0,1.22,0.8
1.69,0.92,0.4,0.61,0.3,0.4,0.4,0.3
1.7,0.57,0,0.1,0.1,0,0.1,0.1
1.71,0.95,3.31,0.1,3.61,3.8,3.41,3.11
1.72,0.67,2.8,0.2,3.3,2.7,2.8,2.3
1.73,0.86,1.4,0.1,2.2,1.9,2,1.4
1.74,0.57,1.3,0,1.4,1.8,1.5,2.3
1.75,0.58,2.1,0.3,2.5,2.1,3,2.1
1.76,1.12,0.4,0.2,0.6,1.2,0.8,1.6
1.77,0.87,2.8,0.2,2.5,2.5,2.7,2.59
1.78,0.81,3.4,0.41,3.4,3.4,2.9,2.9
1.79,1.07,3.6,0.52,3.6,4.72,4.2,4.13
1.8,0.68,3.61,0.31,2.4,2.4,3.31,2.3
1.81,0.9,2.71,0.21,3.6,2.3,2.4,2.3
1.82,0.62,1.3,0.41,2.1,1.3,2.1,1.4
1.83,0.23,1.01,0.2,1.3,3,1.3,3.1
1.84,0.08,1.8,0.91,2.1,1.5,2.2,1.6
1.85,0.15,2.82,0.81,0.6,1.8,0.6,2.3
1.86,0.89,2.32,0.4,2.9,3.2,2.5,2.6
1.87,0.69,0.5,0.2,3.6,3.1,3,3.2
1.88,0.71,2.71,0.1,4.3,4,4.21,4.12
1.89,0.94,1.41,0.1,3.4,2.6,2.91,2.91
1.9,0.67,2.1,0.3,2.9,2,2.5,2.7
1.91,0.3,2.94,0.1,2.6,1.7,2.1,1.11
1.92,0.63,1.81,0.62,2.2,2.4,1.9,3.01
1.93,0.74,0.61,0.41,1.3,3.1,1.9,3.35
1.94,0.79,0.5,0.3,3.9,4,3.1,1.1
1.95,0.71,0.41,0.3,4.61,4.41,4.5,0.61
1.96,0.8,0.61,0.3,2,2.3,3.5,0.3
1.97,0.13,0.5,1.71,2.2,1.6,2.4,0.4
1.98,0.13,0.5,0.61,1.4,2.4,1.8,0.3
1.99,0.28,0.1,2.12,2.2,1.7,1.7,0.3
2,0.97,0.3,2.74,1.3,3.8,1.4,0.4
2.01,1.23,0.4,1.83,4,2.92,3.6,0.3
2.02,0.87,0.3,1.3,3.71,1.3,3.32,0.41
2.03,0.64,0.3,1.22,0.1,2.3,1.01,0.2
2.04,0.73,0.3,2.52,0.1,1.9,2.5,0.2
2.05,0.74,0.3,3.33,1.51,1.6,1.8,0.2
2.06,0.63,0.2,2.02,2.12,2.3,1.1,0.62
2.07,0.67,0.3,1.01,1.5,0.8,1.8,0.3
2.08,0.77,0.2,0.81,2.6,2.5,1.9,0.31
2.09,0.36,0.3,3.12,1.4,2.9,3,0.2
2.1,0.1,1.31,2.94,2.9,4.43,2.62,1.41
2.11,1.04,2.82,1.21,2.81,3.21,0.7,3
2.12,0.53,0.72,0.5,3.42,2.01,2.6,0.4
2.13,1.13,0.41,1.81,2.1,2.2,2.2,0.3
2.14,0.56,0.82,1.01,2.3,1.8,1.7,0.41
2.15,0.49,0.2,0.2,1.3,2.2,2,0.3
2.16,1.8,0.61,1.9,2.5,3.51,1.7,0.41
2.17,0.79,0.4,2.51,1.2,3,2.5,0.4
2.18,0.92,0.2,1.6,3.4,3.51,4.32,0.4
2.19,0.54,0.3,1.7,5.13,1.4,4.2,0.51
2.2,0.59,0.4,1.3,3.9,3.9,5.3,0.51
2.21,0.1,0.3,1.3,5.41,3.5,4.41,0.2
2.22,0.05,0.4,1,3.81,3.63,0.2,0.5
2.23,0.08,2.3,2,2.1,2.9,2.8,1.9
2.24,1.03,1.3,0.5,1.6,3.6,1.4,1
2.25,0.97,1.2,2.3,1.1,3.3,1,1.2
2.26,0.62,1.3,2.1,1.7,2.4,1.4,1.2
2.27,0.59,2.41,1.8,2.5,2.41,3.01,2.4
2.28,0.53,3.11,3.01,2.41,2.2,3.21,3
2.29,0.4,5.41,3.3,6.2,4,6.61,6.1
2.3,0.64,4.8,1.2,5.39,4,5.53,5.03
2.31,0.69,3.2,1.7,4,4.4,3.5,3.79
2.32,0.71,2.1,1.4,1.5,2.61,1.5,1.7
2.33,0.25,0.6,1.6,1.1,2.6,1.3,1.1
2.34,0.05,0.9,0.7,1.4,2.8,1.3,1.7
2.35,0.08,1.1,1.9,2.4,2,1.6,1
2.36,0.1,2.52,0.5,1.91,1.62,2.21,2.41
2.37,0.89,0.4,1.8,0.1,1.21,0.3,3.03
2.38,0.79,0.2,1.9,0.2,0.1,0.1,3.21
2.39,0.67,0.2,1.7,0,0.1,0,1.21
2.4,0.69,0.2,3.51,1.11,0,0.1,0.1
2.41,0.38,1.4,2.7,0.7,1.61,4.12,1.7
2.42,0.38,2.2,3.21,1.5,1.51,1.72,2.11
2.43,0.87,3.2,3.2,2.7,2.81,2.13,3.7
2.44,0.63,2,0.9,1.5,0.9,0.5,1.4
2.45,0.64,2,0.4,1.8,1.6,1.41,1.7
2.46,0.97,1.2,3.01,1.2,1,0.61,0.9
2.47,0.2,1.6,1.9,1.7,1.2,1.61,1.2
2.48,0.1,1.2,2.2,0.8,1,1.42,0.9
2.49,0.61,1.4,2.4,1.5,1.8,2.22,1.7
2.5,0.71,0.5,2.2,0.9,0.7,1.11,0.8
2.51,0.92,2.3,1.2,2,1.8,1.32,2.2
2.52,1.33,2.3,1.2,1.9,2.1,0.7,2
2.53,0.56,1.8,1.21,2,1.6,0.7,2
2.54,0.63,4.32,2.52,3.21,4.11,1.62,2.91
2.55,0.74,3.01,2.2,2.7,2.61,2.52,3.5
2.56,0.55,1.9,2.8,1.2,1.5,1.11,1.5
2.57,1.05,1.7,2.4,2,0.9,0.2,1.8
2.58,0.74,1.3,2.1,1.4,2.1,0.1,1
2.59,0.66,1.7,2.1,1.8,1,0.1,1.3
2.6,0.08,1.1,1.4,1.1,0.7,0.3,1.2
2.61,0.74,1.6,2.8,1.3,1.8,0,1.6
2.62,0.74,0.9,1.9,0.4,1.3,0.1,1
2.63,0.59,1.9,2.1,1.7,1.8,0.2,2
2.64,0.56,1.9,2.3,2.1,2.2,0.1,1.7
2.65,0.36,1.8,2.1,2.1,1.9,0.3,2.7
2.66,0.43,4.41,3.11,3.7,3.71,1.32,2.9
2.67,0.82,3,4.3,2.2,3.7,0.71,3.41
2.68,0.53,3.31,3.3,4.83,3.2,0.4,3.11
2.69,0.87,2.71,3.41,3.22,2.53,0.51,3.79
2.7,0.86,3.43,3.29,2.52,3.01,0.4,3.21
2.71,0.1,2.21,2.9,2.31,1.41,0.1,2.31
2.72,0.08,2.01,2.21,1.91,1.61,0.4,2.62
2.73,0.48,2.51,2.2,2.62,3.22,0.63,0.7
2.74,0.54,1.93,2.5,3.04,2.63,0.41,1.22
2.75,0.79,0.4,1.7,0.5,0.4,0.61,1.61
2.76,0.64,0.1,2.6,0.1,0.2,0.41,0.91
2.77,0.2,0.1,2.4,0.1,0.1,0.4,1.71
2.78,0.13,0.3,2.8,0.2,0.1,0.2,2.74
2.79,0.2,0.2,2.3,0.2,0.3,0.2,1.71
2.8,1.02,3.01,2.9,2.3,2.41,2.12,1.71
2.81,0.38,2,3.61,1.8,1.7,2.13,2
2.82,1.08,1.6,4.1,2.3,2.1,2.14,1.6
2.83,0.4,2.1,2.6,1.7,1.8,2.03,1.8
2.84,0.79,2.4,2.3,2.4,1.9,2.24,1.6
2.85,0.4,2.2,2.22,1.7,1.9,2.33,1.9
2.86,0.64,2.2,1.52,2.2,2,2.44,2.1
2.87,0.73,2.9,0.2,2.7,2.6,2.94,2.2
2.88,1.86,2.2,0.5,2.4,2.4,1.11,3.1
2.89,0.72,2.4,1.4,2.3,2.4,1.8,2.6
2.9,0.35,2.2,2.6,2.4,2.3,2.34,2.1
2.91,0.13,2.4,1.9,2.3,2,1.72,2.2
2.92,0.38,3.51,1.6,4.51,3.62,2.54,3.72
2.93,0.79,3.6,2.4,4.41,4.51,2.54,4.5
2.94,0.38,4.41,1.5,3.21,2.51,2.13,2.9
2.95,0.77,2.4,2.1,2.1,2.3,2.73,2.2
2.96,0.79,3,3.3,2.2,2.1,2.41,1.8
2.97,0.46,2,3.6,2.3,1.7,2,1.9
2.98,0.92,2,3.91,1.6,1.6,1.74,2.1
2.99,0.81,1.5,3,1.9,1.9,2.15,1.6
3,1.27,2.7,2.5,2.3,2.2,2.22,2.5
3.01,0.61,1.8,2.4,1.5,2.2,1.74,1.7
3.02,0.43,2.7,2.6,2,2.2,2.03,1.8
3.03,0.03,2.1,2,2.6,2.2,2.22,1.7
3.04,0.45,2.4,2.8,2.7,1.8,4.06,2.2
3.05,0.79,2.4,3,2.5,2.2,1.51,1.5
3.06,0.79,2.4,4.7,2.4,2,2.22,2
3.07,1.56,2.3,3.5,2.52,2.61,2.34,2.51
3.08,0.97,1.52,3.2,0.6,0.2,1.93,0.4
3.09,0.43,0.2,1.61,0.2,0.2,2.02,0.2
3.1,0.86,0.1,1.31,0,0.1,1.72,0.1
3.11,0.74,0,3.14,0.1,0.1,2.23,0
3.12,1.32,0.1,3.53,0,0,2.25,0.1
3.13,0.92,0,0.1,0.1,0.1,0.2,0.1
3.14,0.13,0.4,0.41,0.2,2.92,0.3,0.3
3.15,0.08,1.3,0.1,1.21,2.42,1.41,1.31
3.16,0.68,2.4,0.3,2.1,1.82,2.5,3.71
3.17,1.65,2.9,0.2,2.7,1.71,2.9,1.8
3.18,0.71,1.3,0.2,1.4,1.51,1.8,1.3
3.19,0.72,2.4,0.1,2.7,2.11,2.2,2.2
3.2,0.66,1.7,0.1,1.3,2.82,1.8,1.5
3.21,0.35,2.1,0.61,1.7,1.31,2.2,2.1
3.22,0.13,2.9,2.93,2.9,1.11,2.3,2.8
3.23,0.86,3.1,0.2,2.7,1.51,3.1,5.21
3.24,0.81,3.71,0.2,3.7,2.33,4.1,3.7
3.25,0.71,2.61,0.3,2.9,2.31,2.91,2.5
3.26,0.97,1.9,0.61,2.3,0.1,1.8,2
3.27,0.76,0.9,0.2,1.6,0.2,1.2,2.2
3.28,0.08,2.8,0.62,3,0.1,2.6,1.7
3.29,0.08,0.8,0.1,1.1,0.2,1.5,2.1
3.3,0.96,2.8,0.52,2.5,0.4,3.2,2.4
3.31,0.77,3.3,0.2,3.2,0.1,3.3,3.7
3.32,0.94,5.31,0.31,4.11,1.73,5.21,4.41
3.33,1,3,0.1,3.49,0.1,2.7,4
3.34,0.71,2.3,0.41,1.7,0.1,2.9,1.81
3.35,0.66,1.3,0.1,1.8,0.2,1.5,0.9
3.36,0.79,2.2,0.3,2.8,0.1,2.1,1.91
3.37,0.96,1.3,0.2,0.9,0.3,1.4,3.83
3.38,1.19,3.1,0.3,3.4,0.2,3,1.3
3.39,0.67,3.6,0.41,3.5,0.2,3.1,0.2
3.4,0.25,5.02,0.71,4.84,0.41,4.8,0.82
3.41,0.18,2.9,2.52,2.7,0.1,3.11,0.1
3.42,0.43,1.8,1.5,2.3,0.1,2,0.2
3.43,0.87,1.1,1.2,1.4,0.1,1,0.4
3.44,0.76,3.3,1,2.6,0.2,2.3,0.5
3.45,0.92,1.1,1,1.6,0.3,0.7,0.2
3.46,0.62,3.9,2.2,3.1,0.3,3.7,0.3
3.47,0.28,4.13,3.21,3.72,0.4,4.7,0.4
3.48,0.71,2.61,5.1,0.1,1.21,0.61,2.91
3.49,0.58,2.4,4.82,1.9,0.31,0,0.3
3.5,0.56,1.5,4.73,2.7,0.41,0,0.51
3.51,0.61,1.9,1.7,1.7,0.41,2.22,0.2
3.52,0.49,2.4,0.8,2.5,0.21,2.11,0.61
