timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,48.96,13.07,29.1,15.92,15.82,16.64,15.85
1.02,48.99,12.9,30.02,16.03,15.94,16.12,15.97
1.03,49.4,12.9,22.68,16.84,15.94,16.22,15.97
1.04,52.34,12.9,25.11,16.98,15.94,18.36,15.97
1.05,59.05,17.75,27.46,17.62,16.74,20.36,16.75
1.06,64.04,18.75,27.81,19.58,19.04,23.1,18.79
1.07,67.55,20.68,28.32,23.15,22.29,23.14,22.23
1.08,77.34,20.68,28.81,23.14,22.29,23.62,22.23
1.09,95.38,20.68,29.44,23.25,22.53,24.16,22.46
1.1,98.56,20.68,30.39,24.14,23.28,24.76,23.21
1.11,98.76,20.68,27.66,24.21,23.3,25.7,23.22
1.12,98.85,20.68,29.76,24.95,24.21,22.65,24.24
1.13,99,20.68,30.77,25.31,24.32,24.43,24.24
1.14,98.94,20.68,31.68,26.19,25.36,25.01,25.3
1.15,98.95,20.68,32.27,27.11,26.28,25.02,26.23
1.16,98.92,20.68,32.7,28.03,27.19,25.51,27.16
1.17,98.99,17.67,33.27,20.55,19.65,26.54,20.56
1.18,98.93,18.63,33.65,22.8,21.7,23.24,24.83
1.19,98.84,20.1,34.21,26.33,25.06,25.14,24.92
1.2,98.83,20.1,34.89,26.33,25.06,25.14,24.92
1.21,98.86,20.1,35.43,26.42,25.25,25.14,25.48
1.22,98.94,20.1,32.49,27.33,26.04,25.14,25.9
1.23,98.93,20.1,34.26,27.33,26.05,25.14,25.9
1.24,98.81,20.1,34.47,27.97,26.87,25.14,26.91
1.25,98.86,20.1,31.14,28.34,27.06,25.14,27.06
1.26,98.9,20.1,31.71,29.16,28,25.14,28.05
1.27,99,20.1,34.09,30.08,28.92,25.14,28.97
1.28,98.89,20.1,35.03,30.98,29.84,25.14,29.81
1.29,98.89,13.02,35.8,22.71,22.82,25.32,23.28
1.3,98.87,18.93,36.13,24.21,25.4,26.24,26.47
1.31,99,19.73,36.71,26.39,27.68,26.09,27.58
1.32,99.01,20.89,37.27,28.98,27.79,25.91,27.92
1.33,98.84,20.89,37.84,30.03,28.44,25.91,28.13
1.34,98.96,20.89,38.17,30.03,28.92,25.91,28.17
1.35,98.84,20.89,38.73,30.03,29.69,25.99,28.17
1.36,98.94,19.58,34.62,30.05,29.29,26.04,28.17
1.37,98.92,20.86,35.12,31.04,27.91,26.83,29.03
1.38,94.59,21.25,30.72,31.08,29.83,27.32,29.09
1.39,98.52,21.25,30.73,31.57,30.88,27.83,29.61
1.4,98.82,21.25,30.73,32.14,31.85,28.38,30.17
1.41,98.92,21.25,30.73,32.71,32.23,28.91,30.75
1.42,98.95,21.25,30.73,33.19,32.69,29.47,31.33
1.43,98.87,21.25,29.39,33.74,33.26,26.03,31.91
1.44,98.89,21.25,31,34.1,33.6,28.65,32.34
1.45,98.73,21.25,34.18,34.69,34.2,29.73,32.91
1.46,98.68,21.25,34.17,35.26,34.77,30.24,33.48
1.47,98.63,21.25,34.92,35.86,35.46,30.77,32.99
1.48,98.6,19.31,36.03,29.05,32.71,31.4,27.35
1.49,98.54,19.91,33.64,31.96,33.98,31.45,29.68
1.5,98.51,19.82,35.81,33.91,34.65,31.79,32.21
1.51,98.49,21.03,36.22,35.3,31.79,30.87,33.28
1.52,98.45,21.23,36.35,35.8,33.95,30.83,33.48
1.53,98.93,21.23,37.75,35.83,34.76,31.89,33.81
1.54,98.93,21.23,35.26,36.37,35.66,32.59,34.4
1.55,98.89,21.23,36.39,36.97,36.08,33.08,34.98
1.56,98.9,21.23,36.32,37.53,36.64,33.62,35.56
1.57,98.98,21.23,36.26,38.11,37.2,34.14,36.14
1.58,98.96,21.23,36.2,38.71,37.76,34.41,36.7
1.59,98.9,21.23,36.13,39.28,38.35,30.28,37.26
1.6,98.99,21.23,36.07,39.67,38.7,33.5,37.64
1.61,98.87,21.23,36.02,40.25,39.27,34.72,38.21
1.62,98.95,21.23,37.28,39.78,35.05,35.32,33.58
1.63,98.85,16.96,37.39,31.39,34.46,35.74,33.25
1.64,98.91,12.84,37.28,31.39,31.03,36.31,34.08
1.65,98.95,12.84,37.07,31.4,31.03,36.93,34.52
1.66,98.93,12.84,36.9,31.39,31.03,37.44,35.04
1.67,98.84,12.84,36.71,31.39,31.03,36.93,35.59
1.68,98.92,12.84,36.64,31.4,31.03,33.54,30.62
1.69,98.81,12.84,36.86,29.06,27.89,28.53,27.64
1.7,98.77,12.84,36.79,29.06,27.89,28.53,27.64
1.71,98.87,18.36,36.75,31.66,30.54,31.09,30.22
1.72,98.87,20.45,36.69,35.25,34.15,34.68,33.81
1.73,98.93,20.45,36.66,35.23,34.14,34.62,33.82
1.74,98.84,20.45,36.63,35.99,35.37,35.41,35.12
1.75,99.04,20.45,36.62,36.61,35.49,35.98,35.28
1.76,98.89,20.45,36.64,36.8,36.29,36.18,36.37
1.77,98.91,20.45,36.6,38.53,37.72,37.92,37.68
1.78,98.88,20.45,36.84,40.18,39.38,39.54,39.31
1.79,99,20.45,37.2,32.3,32.63,37.85,32.63
1.8,98.95,18.35,37.2,34.94,35.45,34.35,35.5
1.81,98.84,20.34,37.17,38.38,37.22,37.78,37.01
1.82,98.87,20.34,37.13,38.31,37.16,37.71,36.95
