timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,paging_vmeff,memory_memused,memory_commit,disk_util,network_ifutil
1,0.13,0.08,0.73,0.03,99.05,0,48.96,7.68,12.32,0
1,0.38,0.3,12.25,0.15,86.92,0,48.99,7.69,100,0
1,0.35,0.18,1.41,0.08,97.96,0,49.4,7.69,31.6,3.26
1,12.81,1.87,0,0.05,85.2,0,52.34,12.76,0,0
1,41.3,1.76,0,0.03,56.92,0,59.05,26.97,0,0
1,27.58,1.31,6.49,0.1,64.52,0,64.04,36.24,0,0
1,18.53,1.85,0.03,0.34,78.94,0,67.55,37.41,1.36,5.57
1,32.01,3.88,4.89,0.65,58.1,0,77.34,41.98,45.6,4.62
1,86.36,6.85,2.98,0.05,2.98,0,95.38,55.62,12.48,0
1,60.68,8.34,1.11,0.08,29.15,0,98.56,68.12,13.76,0
1,54.81,3.95,0.76,0.1,39.73,0,98.76,70.96,0,0.01
1,24.91,3.06,0,0.03,71.9,99.99,98.85,75.69,1.6,0.11
1,24.93,4.48,32.19,0.25,37.84,99.92,99,77.8,17.44,0.01
1,5.61,4.17,32.87,0.2,57.07,0,98.94,77.73,56.72,0
1,15.84,4.42,35.81,0.31,43.47,100,98.95,78.04,27.6,0
1,14.67,2.7,36.87,0.31,45.29,0,98.92,78.06,0.16,0
1,8.65,1.25,43.75,0.31,45.84,0,98.99,78.1,0.8,0
1,26.07,0.58,6.76,0.1,66.46,0,98.93,78.04,0.24,0.01
1,33.71,1.45,21.56,0.23,42.69,99.79,98.84,77.91,57.36,0
1,15.33,0.84,36.64,0.33,46.7,100,98.83,77.77,100,0
1,11.1,1.02,41.98,0.33,45.48,100,98.86,77.71,100,0
1,11.98,0.89,35.5,0.33,51.2,99.98,98.94,77.64,100,0
1,12.89,0.74,40.67,0.28,45.34,100.08,98.93,77.48,28.24,0
1,8.38,0.38,9.09,0.1,82.02,0,98.81,77.48,0.08,0
1,37.56,0.91,9.47,0.13,51.81,97.84,98.86,77.35,18.8,0.13
1,14.88,0.69,42.74,0.36,41.15,95.91,98.9,77.14,98.96,0
1,12.55,0.9,41.59,0.31,44.53,98.56,99,77.08,100,0
1,10.61,0.89,36.57,0.31,51.42,100,98.89,77,66.24,0
1,14.84,0.84,35.84,0.31,48.07,0,98.89,76.94,0.8,0
1,31,0.38,1.86,0.08,66.63,0,98.87,76.89,0.08,0.1
1,12.33,1.15,37.24,0.33,48.72,100,99,76.83,85.2,0
1,15.01,0.77,44.21,0.28,39.65,99.95,99.01,76.78,99.28,0
1,10,0.82,41.52,0.33,47.21,100,98.84,76.66,12.24,0
1,12.02,0.9,37.94,0.28,48.68,0,98.96,76.59,1.92,0
1,15.72,0.45,6.81,0.08,76.84,0,98.84,76.52,0.16,0.11
1,29.44,1.15,26.08,0.25,42.93,100,98.94,76.47,54.24,0.01
1,2.35,0.43,25.24,0.25,71.62,100,98.92,76.47,19.68,0
1,21.26,1.54,18.43,0.18,58.44,100,94.59,76.36,6.72,0
1,10.72,0.67,40.51,0.31,47.64,0,98.52,76.3,0,0
1,13.83,0.76,32.63,0.31,52.37,0,98.82,76.04,0,0
1.5,34.65,0.61,7.99,0.08,56.51,100,98.92,76.04,13.2,0.12
1.5,8.08,0.82,36.11,0.26,54.6,100,98.95,75.99,100,0
1.5,16.21,0.79,38.23,0.26,44.39,100,98.87,75.93,27.52,0
1.5,11.5,0.79,38.32,0.31,48.95,0,98.89,75.88,0.08,0
1.5,13.41,0.64,37.26,0.31,48.28,0,98.73,75.86,0.24,0
1.5,16.52,0.18,0,0.05,83.21,0,98.68,75.81,0.08,0.13
1.5,10.75,0.1,0.03,0,89.12,0,98.63,75.81,0,0
1.5,0.08,0.1,0,0,99.82,0,98.6,75.81,1.6,0
1.5,0.23,0.05,0,0,99.72,0,98.54,75.76,0.16,0
1.5,0.15,0.05,0,0,99.8,0,98.51,75.76,0.08,0
1.5,0.35,0.08,0.03,0.03,99.52,0,98.49,75.76,0.08,0
1.5,0.23,0.03,0,0,99.75,0,98.45,75.76,0.08,0
1.5,11.11,1.01,17.96,0.18,69.58,100,98.93,75.76,50.88,0.01
1.5,13,1.03,39.74,0.33,45.74,100,98.93,75.76,100,0
1.5,11.94,0.76,28.82,0.23,58.15,100,98.89,75.64,28.72,0
