timestamp,cpu_usr,cpu_idle,cpu_sys,cpu_iowait,cpu_steal,paging_vmeff,memory_memused,memory_commit,disk_util,network_ifutil
1,0.3,99.5,0.2,0,0,0,15.85,12.08,0,0
1,4.44,82.76,1.71,10.99,0.1,0,15.97,12.46,20.48,0
1,0,76.78,0.2,22.91,0.1,0,15.97,12.46,47.44,0
1,0.2,99.7,0.1,0,0,0,15.97,12.46,0.08,0
1,13.28,85.71,1.01,0,0,0,16.75,16.99,0,0
1,97.1,0.1,2.7,0.1,0,0,18.79,18.02,2.48,0
1,97.8,0.2,2,0,0,0,22.23,19.5,0,0
1,98,0,1.8,0,0,0,22.23,19.5,0,0
1,99.1,0,0.9,0,0,0,22.46,19.5,0,0
1,98.6,0,1.4,0,0,0,23.21,19.5,0,0
1,98.7,0,1.2,0,0,0,23.22,19.5,4.24,0
1,98.5,0,1.5,0,0,0,24.24,19.5,0.72,0
1,99.5,0.1,0.4,0,0,0,24.24,19.5,0,0
1,98.1,0,1.9,0,0,0,25.3,19.5,1.6,0
1,97.5,0,2.5,0,0,0,26.23,19.5,0,0
1,98.4,0,1.6,0,0,0,27.16,19.5,0,0
1,84.58,11.91,3.4,0,0.1,0,20.56,16.98,3.92,0
1,97.19,0.1,2.51,0.1,0,0,24.83,19.54,52.72,0
1,98.9,0,1,0,0,0,24.92,19.54,8.16,0.15
1,98.2,0,1.6,0,0,0,24.92,19.54,0,0
1,98.9,0,1.1,0,0,0,25.48,19.54,0,0
1,98.3,0,1.6,0,0,0,25.9,19.54,0,0
1,99.1,0,0.9,0,0,0,25.9,19.54,0.08,0
1,98.2,0.1,1.6,0,0,0,26.91,19.54,0,0
1,99.2,0,0.8,0,0,0,27.06,19.54,0,0
1,97.7,0,2.3,0,0,0,28.05,19.54,0,0
1,97.6,0,2.3,0,0,0,28.97,19.54,3.84,0
1,90.01,0.3,2.8,6.89,0,0,29.81,19.54,94.85,0
1,89.17,7.72,3.01,0,0,0,23.28,17.28,1.84,0.15
1,95.8,0,3.5,0,0,0,26.47,19.29,0,1.94
1,97.21,0,2.3,0.1,0,0,27.58,20.34,0,0.72
1,41.37,57.03,1.41,0,0,0,27.92,20.34,0,0.59
1,0.91,98.99,0.1,0,0,0,28.13,20.34,0,0
1,1.11,98.69,0.1,0,0.1,0,28.17,20.34,0.72,0
1,0.8,98.99,0.2,0,0,0,28.17,20.34,0.08,0
1,1.32,96.15,0.2,2.23,0.1,0,28.17,20.34,6.96,0.24
1,82.01,15.78,2.01,0.1,0,0,29.03,20.34,5.12,0.3
1,97.2,0.1,2.3,0,0,0,29.09,20.55,9.92,0.59
1,97.8,0,2.2,0,0,0,29.61,20.55,0.08,0
1,98.2,0.1,1.4,0,0,0,30.17,20.55,0,0
1.5,97.7,0,2.2,0,0,0,30.75,20.55,0,0
1.5,97.9,0,1.9,0,0,0,31.33,20.55,0,0
1.5,97.7,0,1.8,0,0,0,31.91,20.55,0.08,0
1.5,97,0,2.8,0,0,0,32.34,20.55,94.4,0.3
1.5,98,0,1.9,0,0,0,32.91,20.55,0,0
