timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,0.13,0.3,98,0.4,0.8,0.4,0.3
1.02,0.38,5.35,97.9,1.71,4.62,6.07,4.44
1.03,0.35,0.1,90.79,2.34,0.1,0,0
1.04,12.81,0.4,95.5,0.5,0.1,54.29,0.2
1.05,41.3,13.15,97.1,10.79,12.27,55.35,13.28
1.06,27.58,97.5,84.75,97.7,97.2,79.54,97.1
1.07,18.53,97.7,57.33,96.8,97.69,66.3,97.8
1.08,32.01,98.1,58.25,98.2,98.1,60.22,98
1.09,86.36,99.4,53.88,99,99.3,57.95,99.1
1.1,60.68,97.9,51.36,97.6,98.3,54.74,98.6
1.11,54.81,98.5,87.22,98.3,98.7,49.25,98.7
1.12,24.91,98.6,95.8,98.9,98.8,56.62,98.5
1.13,24.93,98.8,97,98.7,98.8,67.37,99.5
1.14,5.61,98.2,97.6,98.5,98.4,65.42,98.1
1.15,15.84,98.2,97.8,97.6,98,62.59,97.5
1.16,14.67,97.7,97.8,97.5,97.5,54.33,98.4
1.17,8.65,76.35,97.6,83.63,78.03,58.49,84.58
1.18,26.07,97.4,97.2,97.6,97.5,46.42,97.19
1.19,33.71,96.8,97.1,96.4,97.5,58.47,98.9
1.2,15.33,98.2,97.3,97.7,98.6,1.11,98.2
1.21,11.1,99.2,97.3,99,98.7,1.41,98.9
1.22,11.98,97.7,93.79,89.59,91.7,1.31,98.3
1.23,12.89,98.8,95.2,98.3,98.7,1.62,99.1
1.24,8.38,99.1,96.4,99.3,98.7,1,98.2
1.25,37.56,98.9,93.71,98.4,99.2,1.61,99.2
1.26,14.88,98.8,97.7,98.9,98.6,0.81,97.7
1.27,12.55,97.6,96.6,98.2,98.3,0.81,97.6
1.28,10.61,97.8,97.7,97.8,97.4,1.21,90.01
1.29,14.84,69.31,97.9,78.06,83.94,15.5,89.17
1.3,31,78.31,98.1,40.52,95.7,29.69,95.8
1.31,12.33,97.9,98,95.29,96.4,2.45,97.21
1.32,15.01,96.9,98.2,95.8,80.16,2.37,41.37
1.33,10,79.2,97.4,41.31,62.34,2.15,0.91
1.34,12.02,52.02,97.2,2.42,52.77,2.24,1.11
