timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,12.32,0,0,0,0,0,0
1.02,100,58.56,9.2,28.64,0.24,62,20.48
1.03,31.6,12.08,0.48,50.64,25.36,5.68,47.44
1.04,0,0.32,2.48,0,0,1.28,0.08
1.05,0,0,0.96,0,20.88,1.68,0
1.06,0,0.08,3.84,0.08,0,0.08,2.48
1.07,1.36,0,32.24,0.08,0,0.08,0
1.08,45.6,0,0.08,0,0,0,0
1.09,12.48,0,0.08,0,0.08,0.16,0
1.1,13.76,3.68,0,8.48,0,0,0
1.11,0,0,13.28,0,0.32,17.36,4.24
1.12,1.6,0.08,0.56,0.08,0.16,21.44,0.72
1.13,17.44,0,5.04,0,0.16,0,0
1.14,56.72,0,2.32,0,0.08,0,1.6
1.15,27.6,0.08,3.04,0.08,0,0,0
1.16,0.16,3.84,0,11.84,17.92,0,0
1.17,0.8,0.08,19.52,0,0,0,3.92
1.18,0.24,0.08,17.68,0.08,0.08,0.08,52.72
1.19,57.36,0.72,11.12,0.56,0.56,0.32,8.16
1.2,100,0.08,1.44,0.08,0.08,0,0
1.21,100,55.04,27.28,38.48,45.28,0.08,0
1.22,100,0,0,19.84,9.84,0.08,0
1.23,28.24,0.08,0,0,0,17.6,0.08
1.24,0.08,0.16,15.04,0.08,0.08,0,0
1.25,18.8,0,0,0,0.08,0,0
1.26,98.96,0.08,0.08,0,0,0.08,0
1.27,100,0,0.16,0,0,0,3.84
1.28,66.24,9.2,15.2,12.88,9.2,0.08,94.85
1.29,0.8,0.56,0.08,0.24,0.56,0.08,1.84
1.3,0.08,1.6,11.12,1.84,1.92,0,0
1.31,85.2,1.04,1.28,0.96,1.6,0,0
1.32,99.28,7.12,28.16,0.96,1.2,0,0
1.33,12.24,6.08,11.04,32.16,33.44,0,0
1.34,1.92,0,1.44,0,0,0,0.72
1.35,0.16,0.16,11.6,0,0.08,0.08,0.08
1.36,54.24,1.28,16.48,0,0.96,11.04,6.96
1.37,19.68,0.24,0.96,0.08,17.6,0.08,5.12
1.38,6.72,11.36,0.16,42.16,0.72,0,9.92
1.39,0,0,15.12,0,0,0,0.08
1.4,0,0.08,0,0,0,0,0
1.41,13.2,1.6,0,0,0,0,0
1.42,100,0,21.16,0.08,5.28,0.08,0
1.43,27.52,21.12,0.08,2.32,4.16,1.28,0.08
1.44,0.08,48.16,0.64,20.8,47.04,28.16,94.4
1.45,0.24,3.12,0,55.36,12.24,0,0
1.46,0.08,28.08,0.08,0.08,8.32,0,0.08
1.47,0,0,0.08,0,28.16,21.36,0
1.48,1.6,0,0,0.08,0,0.08,0.08
1.49,0.16,0.08,0.08,0.08,0.08,0,0
1.5,0.08,15.04,2.72,49.52,15.04,11.04,7.92
1.51,0.08,0,0,0.64,0,1.2,42.24
1.52,0.08,15.2,0,0,0.08,17.28,0.08
1.53,50.88,0,0,0,16.88,10.88,0
1.54,100,0.08,20.56,0.16,0,0.16,0
1.55,28.72,0,56.64,0.08,0.08,0,0
1.56,0.56,12,0.8,4.16,11.02,15.2,42.08
1.57,0.32,7.76,0,42.56,1.84,0,3.12
