timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,7.68,13.07,12.17,12.67,12.82,12.78,12.08
1.02,7.69,12.9,12.35,13.06,13.21,13.08,12.46
1.03,7.69,12.9,12.35,13.06,13.21,13.08,12.46
1.04,12.76,12.9,12.35,13.06,13.21,17.11,12.46
1.05,26.97,17.75,17.06,17.62,17.76,22.71,16.99
1.06,36.24,18.75,18.14,18.7,18.62,24.28,18.02
1.07,37.41,20.68,19.93,20.11,20.63,24.28,19.5
1.08,41.98,20.68,19.93,20.11,20.63,24.28,19.5
1.09,55.62,20.68,19.93,20.11,20.63,24.28,19.5
1.1,68.12,20.68,19.93,20.11,20.63,24.28,19.5
1.11,70.96,20.68,19.93,20.11,20.63,24.28,19.5
1.12,75.69,20.68,19.93,20.11,20.63,23.08,19.5
1.13,77.8,20.68,19.93,20.11,20.63,24.36,19.5
1.14,77.73,20.68,19.93,20.11,20.63,24.36,19.5
1.15,78.04,20.68,19.93,20.11,20.63,24.36,19.5
1.16,78.06,20.68,19.93,20.11,20.63,24.36,19.5
1.17,78.1,17.67,17.01,17.57,17.6,24.36,16.98
1.18,78.04,18.63,17.85,18.46,18.52,22.65,19.54
1.19,77.91,20.1,19.9,20.5,20.14,24.3,19.54
1.2,77.77,20.1,19.9,20.5,20.14,24.3,19.54
1.21,77.71,20.1,19.9,20.5,20.14,24.3,19.54
1.22,77.64,20.1,19.9,20.5,20.14,24.3,19.54
1.23,77.48,20.1,19.9,20.5,20.14,24.3,19.54
1.24,77.48,20.1,19.9,20.5,20.14,24.3,19.54
1.25,77.35,20.1,19.9,20.5,20.14,24.3,19.54
1.26,77.14,20.1,19.9,20.5,20.14,24.3,19.54
1.27,77.08,20.1,19.9,20.5,20.14,24.3,19.54
1.28,77,20.1,19.9,20.5,20.14,24.3,19.54
1.29,76.94,13.02,17.29,12.88,17.4,24.3,17.28
1.3,76.89,18.93,19.18,17.69,19.84,24.3,19.29
1.31,76.83,19.73,19.96,19.77,20.55,24.3,20.34
1.32,76.78,20.89,19.96,20.84,20.55,24.3,20.34
1.33,76.66,20.89,19.96,20.84,20.55,24.3,20.34
1.34,76.59,20.89,19.96,20.84,20.55,24.3,20.34
1.35,76.52,20.89,19.96,20.84,20.55,24.3,20.34
1.36,76.47,19.58,19.96,20.84,20.55,24.3,20.34
1.37,76.47,20.86,19.01,20.84,19.61,24.5,20.34
1.38,76.36,21.25,20.38,20.84,21,24.5,20.55
1.39,76.3,21.25,20.38,20.84,21,24.5,20.55
1.4,76.04,21.25,20.58,20.84,21.21,24.5,20.55
1.41,76.04,21.25,20.58,20.84,21.21,24.5,20.55
1.42,75.99,21.25,20.58,20.84,21.21,24.5,20.55
