timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,0,0,0,0,0,0,0
1.02,0,0,0,0,0,0,0
1.03,3.26,0,0.15,1.11,0,0,0
1.04,0,0.01,1.33,0.17,0.01,0.01,0
1.05,0,0,0.52,0,0.01,0,0
1.06,0,0,0.59,0,0,0,0
1.07,5.57,0,0.63,0,0,0,0
1.08,4.62,0,0.29,0,0,0,0
1.09,0,0,0.12,0,0,0,0
1.1,0,0,0.05,0,0,0,0
1.11,0.01,0,0.89,0,0,0,0
1.12,0.11,0,1.45,0,0,0,0
1.13,0.01,0,0,0,0,0,0
1.14,0,0,0,0,0,0,0
1.15,0,0,0,0,0,0,0
1.16,0,0,0,0,0,0,0
1.17,0,0,0,0,0,0,0
1.18,0.01,0,0.37,0,0,0,0
1.19,0,0.15,0,0.15,0.15,0.74,0.15
1.2,0,0,0,0,0,0,0
1.21,0,0,0,0,0,0,0
1.22,0,0,0,0,0,0,0
1.23,0,0,1.45,0,0,0,0
1.24,0,0,1.25,0,0,0,0
1.25,0.13,0,0.37,0,0,0,0
1.26,0,0,0.74,0,0,0,0
1.27,0,0,1.45,0,0,0,0
1.28,0,0,0,0,0,0,0
1.29,0,0.15,0,0.07,0.15,0.67,0.15
1.3,0.1,1.04,0,1,1.33,0.53,1.94
1.31,0,0.64,0,1.33,0.52,1.08,0.72
1.32,0,1.62,0,1.33,0.59,1.25,0.59
1.33,0,0,0,0,0.75,1.36,0
1.34,0,0.34,0.37,0.34,0.36,0.67,0
1.35,0.11,0,0,0,0,0.12,0
1.36,0.01,0.33,0,0.09,0.15,0.05,0.24
1.37,0,1.63,0.37,0.3,0.74,0.15,0.3
1.38,0,0.69,0,0.59,1.45,0.3,0.59
1.39,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.41,0.12,0,0,0,0,0,0
1.42,0,0,0,0,0,0,0
1.43,0,0,0,0,0,0,0
1.44,0,0.34,0,0.3,0.37,1.67,0.3
1.45,0,0,0,0,0,0,0
1.46,0.13,0,0,0,0,0,0
1.47,0,0,0,0,0,0,0
1.48,0,0,0,0,0,0,0
1.49,0,1.44,0,1.63,1.44,0.75,1.53
1.5,0,1.48,0,1.42,1.04,0.3,1.53
1.51,0,1.48,0,0.3,0.37,0.15,0.3
1.52,0,0.69,0,0.59,1.45,1.67,0.59
1.53,0.01,0.34,0,0.3,0.37,0.15,0.3
1.54,0,0,0,0,0,0,0
1.55,0,0,0.87,0,0,0,0
1.56,0.73,0,0,0,0,0,0
