timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,network_ifutil,memory_memused,memory_commit,disk_util,paging_vmeff
1.01,0.13,0.08,0.73,0.03,99.05,0,48.96,7.68,12.32,0
1.02,0.38,0.3,12.25,0.15,86.92,0,48.99,7.69,100,0
1.03,0.35,0.18,1.41,0.08,97.96,3.26,49.4,7.69,31.6,0
1.04,12.81,1.87,0,0.05,85.2,0,52.34,12.76,0,0
1.05,41.3,1.76,0,0.03,56.92,0,59.05,26.97,0,0
1.06,27.58,1.31,6.49,0.1,64.52,0,64.04,36.24,0,0
1.07,18.53,1.85,0.03,0.34,78.94,5.57,67.55,37.41,1.36,0
1.08,32.01,3.88,4.89,0.65,58.1,4.62,77.34,41.98,45.6,0
1.09,86.36,6.85,2.98,0.05,2.98,0,95.38,55.62,12.48,0
1.1,60.68,8.34,1.11,0.08,29.15,0,98.56,68.12,13.76,0
1.11,54.81,3.95,0.76,0.1,39.73,0.01,98.76,70.96,0,0
1.12,24.91,3.06,0,0.03,71.9,0.11,98.85,75.69,1.6,99.99
1.13,24.93,4.48,32.19,0.25,37.84,0.01,99,77.8,17.44,99.92
1.14,5.61,4.17,32.87,0.2,57.07,0,98.94,77.73,56.72,0
1.15,15.84,4.42,35.81,0.31,43.47,0,98.95,78.04,27.6,100
1.16,14.67,2.7,36.87,0.31,45.29,0,98.92,78.06,0.16,0
1.17,8.65,1.25,43.75,0.31,45.84,0,98.99,78.1,0.8,0
1.18,26.07,0.58,6.76,0.1,66.46,0.01,98.93,78.04,0.24,0
1.19,33.71,1.45,21.56,0.23,42.69,0,98.84,77.91,57.36,99.79
1.2,15.33,0.84,36.64,0.33,46.7,0,98.83,77.77,100,100
1.21,11.1,1.02,41.98,0.33,45.48,0,98.86,77.71,100,100
1.22,11.98,0.89,35.5,0.33,51.2,0,98.94,77.64,100,99.98
1.23,12.89,0.74,40.67,0.28,45.34,0,98.93,77.48,28.24,100.08
1.24,8.38,0.38,9.09,0.1,82.02,0,98.81,77.48,0.08,0
1.25,37.56,0.91,9.47,0.13,51.81,0.13,98.86,77.35,18.8,97.84
1.26,14.88,0.69,42.74,0.36,41.15,0,98.9,77.14,98.96,95.91
1.27,12.55,0.9,41.59,0.31,44.53,0,99,77.08,100,98.56
1.28,10.61,0.89,36.57,0.31,51.42,0,98.89,77,66.24,100
1.29,14.84,0.84,35.84,0.31,48.07,0,98.89,76.94,0.8,0
1.3,31,0.38,1.86,0.08,66.63,0.1,98.87,76.89,0.08,0
1.31,12.33,1.15,37.24,0.33,48.72,0,99,76.83,85.2,100
1.32,15.01,0.77,44.21,0.28,39.65,0,99.01,76.78,99.28,99.95
1.33,10,0.82,41.52,0.33,47.21,0,98.84,76.66,12.24,100
1.34,12.02,0.9,37.94,0.28,48.68,0,98.96,76.59,1.92,0
1.35,15.72,0.45,6.81,0.08,76.84,0.11,98.84,76.52,0.16,0
1.36,29.44,1.15,26.08,0.25,42.93,0.01,98.94,76.47,54.24,100
1.37,2.35,0.43,25.24,0.25,71.62,0,98.92,76.47,19.68,100
1.38,21.26,1.54,18.43,0.18,58.44,0,94.59,76.36,6.72,100
1.39,10.72,0.67,40.51,0.31,47.64,0,98.52,76.3,0,0
1.4,13.83,0.76,32.63,0.31,52.37,0,98.82,76.04,0,0
1.41,34.65,0.61,7.99,0.08,56.51,0.12,98.92,76.04,13.2,100
1.42,8.08,0.82,36.11,0.26,54.6,0,98.95,75.99,100,100
1.43,16.21,0.79,38.23,0.26,44.39,0,98.87,75.93,27.52,100
1.44,11.5,0.79,38.32,0.31,48.95,0,98.89,75.88,0.08,0
1.45,13.41,0.64,37.26,0.31,48.28,0,98.73,75.86,0.24,0
1.46,16.52,0.18,0,0.05,83.21,0.13,98.68,75.81,0.08,0
1.47,10.75,0.1,0.03,0,89.12,0,98.63,75.81,0,0
1.48,0.08,0.1,0,0,99.82,0,98.6,75.81,1.6,0
1.49,0.23,0.05,0,0,99.72,0,98.54,75.76,0.16,0
1.5,0.15,0.05,0,0,99.8,0,98.51,75.76,0.08,0
1.51,0.35,0.08,0.03,0.03,99.52,0,98.49,75.76,0.08,0
1.52,0.23,0.03,0,0,99.75,0,98.45,75.76,0.08,0
1.53,11.11,1.01,17.96,0.18,69.58,0.01,98.93,75.76,50.88,100
1.54,13,1.03,39.74,0.33,45.74,0,98.93,75.76,100,100
1.55,11.94,0.76,28.82,0.23,58.15,0,98.89,75.64,28.72,100
1.56,3.72,0.73,24.88,0.25,70.26,0.73,98.9,75.64,0.56,0
1.57,14.62,0.51,28.71,0.2,55.89,1.89,98.98,75.52,0.32,0
1.58,24.53,0.18,0,0,75.22,1.43,98.96,75.52,0.16,0
1.59,12.95,1,30.39,0.33,55.2,0.01,98.9,75.43,80.16,99.52
1.6,15.68,0.9,41.05,0.28,41.92,0,98.99,75.38,8.64,100
1.61,10.03,0.87,35.4,0.36,53.23,0,98.87,75.2,0.08,0
1.62,9.51,0.7,42.3,0.34,47.13,0,98.95,75.29,0.08,0
1.63,12.59,0.64,18.71,0.2,67.79,0.09,98.85,75.23,0.16,0
1.64,32.59,0.61,8.96,0.1,57.67,0.05,98.91,75.23,14.08,99.74
1.65,7.46,0.97,42.53,0.36,48.5,0,98.95,75.18,62.67,100
1.66,16.58,0.97,36.2,0.31,45.86,0,98.93,75.12,0.16,0
1.67,13.6,0.64,37.36,0.36,47.89,0,98.84,75.12,0.16,0
1.68,24.47,0.89,28.5,0.28,45.73,0.12,98.92,75.06,0.24,0
1.69,23.71,0.92,30.38,0.25,44.61,0.01,98.81,75.12,74.16,100
1.7,13.26,0.57,40.44,0.31,45.35,0,98.77,75.07,78.32,99.43
1.71,10.57,0.95,37.73,0.31,50.32,0,98.87,75.01,0.16,0
1.72,11.45,0.67,38.27,0.31,49.26,0,98.87,75.01,0,0
1.73,40.81,0.86,17.16,0.23,40.68,0.18,98.93,74.96,24.16,100
1.74,10.19,0.57,36.21,0.33,52.65,0,98.84,74.82,25.76,100
1.75,10.71,0.58,8.2,0.18,80.21,0,99.04,74.82,10.96,100
1.76,15.08,1.12,24.28,0.31,59.06,0,98.89,74.88,5.92,100
1.77,17.47,0.87,22.38,0.2,58.95,0,98.91,74.77,0.88,0
1.78,35.49,0.81,18.86,0.2,44.54,0.11,98.88,74.77,16.56,100
1.79,11.48,1.07,23.79,0.28,63.1,0,99,74.72,5.6,100
1.8,10.82,0.68,6.28,0.1,82.07,0,98.95,74.72,14.56,100
1.81,13.05,0.9,27.53,0.33,58.07,0,98.84,74.72,26.88,99.8
1.82,11.97,0.62,40.7,0.38,46.18,0,98.87,74.72,0.24,0
1.83,7.34,0.23,2.4,0.05,89.96,0.18,98.8,74.62,0.24,0
1.84,14.16,0.08,0.03,0,85.74,0,98.79,74.62,0.32,0
1.85,7.56,0.15,0.08,0.03,92.19,0,98.92,74.62,0.08,0
1.86,5.37,0.89,23.56,0.25,69.75,0,98.97,74.62,9.68,99.12
1.87,7.95,0.69,26.06,0.23,64.98,0,98.87,74.62,4.56,100
1.88,11.91,0.71,5.18,0.13,82.04,0,98.97,74.62,13.44,99.98
1.89,13.11,0.94,23.91,0.2,61.75,0,98.9,74.56,48.4,100
1.9,12.99,0.67,37.42,0.33,48.51,0,98.96,74.55,0.08,0
1.91,25.11,0.3,5.34,0.1,69.07,0.11,98.98,74.55,0.16,0
1.92,9.95,0.63,6.22,0.08,83.07,0,98.94,74.55,21.44,100
1.93,9.82,0.74,35.75,0.31,53.27,0,98.86,74.55,12.72,100
