timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,91.22,93,92.29,91.1,91.01,89.69,92.61
1.06,91.28,93.06,92.35,91.16,91.07,89.71,92.66
1.11,91.28,93.06,92.35,91.16,91.07,89.75,92.66
1.16,91.28,93.06,92.35,91.16,91.07,89.74,92.66
1.21,91.28,93.06,92.35,91.16,91.07,89.74,92.66
1.26,91.28,93.06,92.35,91.16,91.07,89.76,92.66
1.31,91.28,93.05,92.35,91.16,91.07,89.76,92.66
1.36,91.28,93.05,92.35,91.16,91.07,89.76,92.66
1.41,91.28,93.05,92.35,91.16,91.07,89.76,92.66
1.46,91.28,93.06,92.35,91.16,91.07,89.76,92.66
1.51,91.28,93.06,92.35,91.16,91.07,89.76,92.66
1.56,91.28,93.06,92.35,91.16,91.07,89.76,92.66
1.61,91.28,93.05,92.35,91.16,91.07,89.75,92.66
1.66,91.28,93.05,92.35,91.16,91.07,89.75,92.66
1.71,91.28,93.05,94,91.16,91.07,89.75,92.92
1.76,91.28,93.06,94,91.16,91.07,89.75,93.48
1.81,91.52,93.63,96.05,91.46,91.55,90.11,94.06
1.86,92.07,94.08,98.24,91.99,91.92,90.55,94.46
1.91,92.66,94.41,98.38,92.54,92.32,90.92,94.8
1.96,95.63,96.78,98.35,95.53,93.56,91.71,95.99
2.01,96.99,98.17,98.48,97.13,96.81,94.58,98.52
2.06,96.99,98.17,98.52,97.13,96.71,95.68,98.54
2.11,96.99,98.17,98.37,97.13,96.71,95.69,98.46
2.16,98.35,98.36,98.56,98.43,98.33,98.43,98.36
2.21,98.4,98.31,98.45,98.44,98.39,98.47,98.35
2.26,98.56,98.54,98.21,98.54,98.42,98.4,98.41
2.31,98.54,98.47,98.29,98.54,98.31,98.5,98.48
2.36,98.21,98.23,98.51,98.45,98.33,98.49,98.56
2.41,98.52,98.23,98.4,98.34,98.29,98.27,98.62
2.46,98.13,98.25,98.22,98.32,98.02,98.24,98.45
2.51,98.42,98.52,98.2,98.56,98.45,98.37,98.12
2.56,98.34,98.27,98.41,98.26,98.49,98.38,98.27
2.61,98.27,98.38,98.01,98.47,98.3,98.4,98.42
2.66,98.22,98.47,98.08,98.28,98.39,98.55,98.26
2.71,98.55,98.47,98.5,98.33,98.41,98.45,98.21
2.76,98.2,98.49,98.53,98.42,98.51,98.56,98.49
2.81,98.33,98.51,98.27,98.3,98.32,98.36,98.47
2.86,98.53,97.99,98.18,98.55,98.35,98.5,98.29
2.91,98.32,98.32,98.44,98.31,98.51,98.32,98.25
2.96,98.55,98.27,98.16,98.37,98.34,98.22,98.38
3.01,98.4,98.31,98.51,98.45,98.47,98.31,98.49
3.06,98.33,98.36,98.07,98.28,98.39,98.56,98.54
3.11,98.28,98.41,98.28,98.28,98.34,98.56,98.56
3.16,98.23,98.39,98.52,98.44,98.46,98.49,98.31
3.21,98.26,98.29,98.24,98.36,98.46,98.5,98.22
3.26,98.39,98.34,98.48,98.42,98.35,98.35,98.31
3.31,98.32,98.29,98.49,98.42,98.43,98.44,98.25
3.36,98.5,98.42,98.2,98.45,98.53,98.52,98.3
3.41,98.47,98.34,98.2,98.24,98.56,98.51,98.44
3.46,98.31,98.28,98.51,98.49,98.38,98.46,98.19
3.51,98.3,98.47,98.26,98.35,98.38,98.46,98.28
3.56,98.42,98.24,98.4,98.37,98.33,98.18,98.42
3.61,98.4,98.41,98.44,98.4,98.18,98.56,98.13
3.66,98.38,98.19,98.27,98.37,98.23,98.4,98.28
3.71,98.21,98.27,97.99,98.25,98.3,98.26,98.55
3.76,98.15,98.42,98.32,98.2,98.15,98.29,98.29
3.81,98.44,98.46,98.14,98.46,98.32,98.4,98.46
3.86,98.23,98.18,98.11,98.24,98.36,98.36,98.24
3.91,98.25,98.47,98.5,98.31,98.51,98.34,98.44
3.96,98.23,98.25,98.43,98.42,98.31,98.51,98.55
4.01,98.47,98.25,98.53,98.3,98.31,98.51,98.37
4.06,98.34,98.32,98.53,98.53,98.44,98.18,98.42
4.11,98.55,98.31,98.46,98.43,98.31,98.51,98.39
4.16,98.31,98.25,98.53,98.54,98.32,98.58,98.32
4.21,98.43,98.43,98.05,98.3,98.1,98.25,98.31
4.26,98.2,98.4,98.1,98.54,98.27,98.5,98.56
4.31,98.53,98.52,98.41,98.49,98.37,98.21,98.48
4.36,98.24,98.21,98.2,98.46,98.32,98.4,98.34
4.41,98.47,98.37,98.53,98.23,98.46,98.23,98.31
4.46,98.54,98.41,98.3,98.37,98.21,98.57,98.29
4.51,98.38,98.11,98.06,98.29,98.21,98.3,98.23
4.56,98.39,98.55,98.41,98.17,98.55,98.48,98.27
4.61,98.33,98.38,98.22,98.52,98.28,98.17,98.27
4.66,98.3,98.45,98.56,98.37,98.51,98.37,98.57
4.71,98.22,98.37,98.47,98.23,98.34,98.32,98.41
4.76,98.31,98.46,98.27,98.33,98.28,98.48,98.29
4.81,98.36,98.48,98.28,98.44,98.53,98.55,98.46
4.86,98.37,98.3,98.25,98.29,98.47,98.4,98.38
4.91,98.47,98.21,98.3,98.3,98.22,98.56,98.44
4.96,98.13,98.3,98.27,98.44,98.28,98.21,98.37
5.01,98.26,98.55,98.28,98.08,98.54,98.35,98.37
5.06,98.34,98.3,98.17,98.57,98.28,98.51,98.46
5.11,98.31,98.3,98.4,98.33,98.42,98.51,98.36
5.16,98.41,98.28,98.34,98.31,98.37,98.42,98.4
5.21,98.3,98.25,97.95,98.1,98.43,98.4,98.3
5.26,98.36,98.37,98.28,98.56,98.32,98.57,98.5
5.31,98.31,98.35,98.49,98.53,98.37,98.31,98.05
5.36,98.52,98.3,98.16,98.32,98.27,98.51,98.44
5.41,98.52,98.5,98.21,98.29,98.38,98.53,98.44
5.46,98.29,98.42,98.54,98.44,98.2,98.31,98.27
5.51,98.29,98.22,98.27,98.44,98.41,98.29,98.01
5.56,98.28,98.14,98.41,98.37,98.46,98.39,98.26
5.61,98.44,98.32,98.55,98.29,98.52,98.52,98.46
5.66,98.26,98.28,98.37,98.44,98.32,98.27,98.52
5.71,98.54,98.34,98.38,98.36,98.43,98.55,98.44
5.76,98.34,98.23,98.48,98.1,98.37,98.55,98.4
5.81,98.53,98.53,98.42,98.32,98.35,98.45,98.42
5.86,98.36,98.53,98.48,98.56,98.39,98.38,98.32
5.91,98.32,98.09,98.52,98.26,98.32,98.34,98.31
5.96,98.19,98.03,98.46,98.18,98.19,98.39,98.23
6.01,98.12,97.89,98.32,98.15,98.15,98.39,98.11
6.06,98.11,97.81,98.23,98.14,98.1,98.4,98
6.11,98.12,97.75,98.07,98.13,98.03,98.39,97.92
6.16,98.14,97.76,98.28,98.22,98.11,98.62,98.13
