timestamp,cpu_usr,memory_memused,memory_commit
1.01,0.3,92.61,11.54
1.06,1.91,92.66,11.73
1.11,0.1,92.66,11.73
1.16,0.1,92.66,11.73
1.21,0.1,92.66,11.73
1.26,0.1,92.66,11.73
1.31,0.1,92.66,11.73
1.36,0,92.66,11.73
1.41,0,92.66,11.73
1.46,0,92.66,11.73
1.51,0,92.66,11.73
1.56,0.1,92.66,11.73
1.61,0,92.66,11.73
1.66,0.1,92.66,11.73
1.71,0.2,92.92,11.73
1.76,0.92,93.48,11.73
1.81,2.75,94.06,11.73
1.86,2.68,94.46,11.73
1.91,0.93,94.8,11.73
1.96,11.26,95.99,11.73
2.01,90.4,98.52,19.21
2.06,6.95,98.54,19.94
2.11,0.8,98.46,19.94
2.16,46.3,98.36,23.78
2.21,5,98.35,23.78
2.26,2.98,98.41,23.78
2.31,3.59,98.48,23.78
2.36,1.8,98.56,23.78
2.41,36.06,98.62,26.5
2.46,91.89,98.45,37.52
2.51,85.31,98.12,48.58
2.56,96.5,98.27,48.58
2.61,96.4,98.42,48.16
2.66,97.5,98.26,48.59
2.71,96.6,98.21,48.61
2.76,96.69,98.49,48.61
2.81,97.6,98.47,48.61
2.86,97,98.29,48.61
2.91,97.1,98.25,48.61
2.96,96.8,98.38,48.61
3.01,97.4,98.49,48.61
3.06,96.3,98.54,48.61
3.11,97.5,98.56,48.61
3.16,97.2,98.31,48.61
3.21,96,98.22,49.13
3.26,97.7,98.31,49.13
3.31,96.9,98.25,49.13
3.36,97.4,98.3,49.13
3.41,97.2,98.44,49.13
3.46,97,98.19,49.13
3.51,96.8,98.28,49.13
3.56,97.1,98.42,49.13
3.61,96.91,98.13,48.93
3.66,97.5,98.28,48.93
3.71,96.79,98.55,48.93
3.76,97,98.29,48.93
3.81,97.8,98.46,48.93
3.86,97,98.24,48.93
3.91,97.8,98.44,48.93
3.96,96.6,98.55,48.93
4.01,97.4,98.37,48.93
4.06,97,98.42,48.93
4.11,97.7,98.39,48.93
4.16,97.2,98.32,48.93
4.21,97.1,98.31,48.93
4.26,97.8,98.56,48.93
4.31,96.9,98.48,48.93
4.36,97.4,98.34,48.93
4.41,97,98.31,48.93
4.46,97.1,98.29,48.93
4.51,97.5,98.23,49.18
4.56,97.9,98.27,49.18
4.61,97,98.27,49.18
4.66,97.5,98.57,49.18
4.71,97.5,98.41,49.18
4.76,96.9,98.29,49.18
4.81,97.8,98.46,49.18
4.86,97.9,98.38,49.18
4.91,97.2,98.44,49.18
4.96,97.2,98.37,49.18
5.01,96.59,98.37,49.18
5.06,96.8,98.46,49.18
5.11,96.9,98.36,49.18
5.16,96.9,98.4,49.18
5.21,97,98.3,49.18
5.26,96.8,98.5,49.18
5.31,97.2,98.05,49.18
5.36,97.6,98.44,49.18
5.41,97.1,98.44,49.18
5.46,97,98.27,49.18
5.51,95.2,98.01,49.18
5.56,97.9,98.26,49.18
5.61,97.1,98.46,49.18
5.66,97.2,98.52,49.18
5.71,96.8,98.44,49.2
5.76,97.3,98.4,49.2
5.81,96.9,98.42,49.2
5.86,37.09,98.32,49.2
5.91,29.77,98.31,49
5.96,21.81,98.23,49
6.01,27.58,98.11,49
6.06,25.58,98,48.79
6.11,26.21,97.92,48.79
6.16,17.69,98.13,48.59
6.21,35.39,98.23,49.51
6.26,92.09,98.38,58.45
6.31,22.05,98.32,59.38
6.36,2.32,98.44,59.38
6.41,0.61,98.48,59.38
6.46,0.4,98.47,59.38
6.51,0.6,98.47,59.38
6.56,0.6,98.41,59.38
6.61,0.5,98.42,59.38
6.66,1.21,98.34,59.38
6.71,0.1,98.35,59.38
6.76,0.2,98.29,59.38
6.81,0.1,98.29,59.38
6.86,0.2,98.16,59.38
6.91,0.3,98.15,59.38
6.96,2.51,51.12,11.05
7.01,4.34,51.55,10.98
