label,timestamp,cpu_usr,memory_memused,memory_commit
1,1.01,0.3,91.22,12.2
1,1.06,1.81,91.28,12.51
1,1.11,0.1,91.28,12.51
1,1.16,0.1,91.28,12.51
1,1.21,0,91.28,12.51
1,1.26,0,91.28,12.51
1,1.31,0.2,91.28,12.51
1,1.36,0,91.28,12.51
1,1.41,0.2,91.28,12.51
1,1.46,0,91.28,12.51
1,1.51,0,91.28,12.51
1,1.56,0,91.28,12.51
1,1.61,0.1,91.28,12.51
1,1.66,0.1,91.28,12.51
1,1.71,0.1,91.28,12.51
1,1.76,0,91.28,12.51
1,1.81,0.91,91.52,12.51
1,1.86,3.12,92.07,12.51
1,1.91,2.08,92.66,12.51
1,1.96,35.23,95.63,19.37
1,2.01,60.14,96.99,20.47
1,2.06,0.2,96.99,20.47
1,2.11,0.3,96.99,20.47
1,2.16,44.9,98.35,24.61
1,2.21,6.82,98.4,24.61
1,2.26,4.82,98.56,24.61
1,2.31,5.88,98.54,24.61
1,2.36,6.81,98.21,24.81
1,2.41,86.97,98.52,31.1
1,2.46,81.72,98.13,49.62
1,2.51,93.7,98.42,49.62
1,2.56,97,98.34,49.62
1,2.61,96.2,98.27,49.62
1,2.66,96.8,98.22,49.62
1,2.71,96.4,98.55,49.62
1,2.76,97.1,98.2,49.62
1,2.81,95.8,98.33,49.62
1,2.86,95.89,98.53,49.62
1,2.91,96.4,98.32,49.62
1,2.96,96.8,98.55,49.62
1,3.01,96.8,98.4,49.62
1,3.06,97.3,98.33,49.62
1,3.11,96.4,98.28,49.62
1,3.16,96.3,98.23,49.62
1,3.21,96.7,98.26,49.62
1,3.26,97.4,98.39,49.62
1,3.31,96.2,98.32,49.62
1,3.36,97.4,98.5,49.62
1,3.41,96.59,98.47,50.25
1,3.46,96.8,98.31,50.25
1,3.51,96.9,98.3,50.25
1,3.56,96.9,98.42,50.25
1,3.61,96.6,98.4,50.25
1,3.66,96.8,98.38,50.25
1,3.71,96.5,98.21,50.25
1,3.76,96.9,98.15,50.25
1,3.81,97.3,98.44,50.25
1,3.86,96.9,98.23,50.25
1,3.91,97.3,98.25,50.25
1,3.96,96.7,98.23,49.95
1,4.01,97.5,98.47,49.95
1,4.06,96.5,98.34,49.95
1,4.11,97.5,98.55,49.95
1,4.16,96.7,98.31,49.95
1,4.21,96.6,98.43,49.95
1,4.26,97,98.2,49.95
1,4.31,97.8,98.53,49.95
1,4.36,97.2,98.24,49.95
1,4.41,97.2,98.47,49.95
1,4.46,97,98.54,49.95
1,4.51,97.3,98.38,49.95
1,4.56,97.8,98.39,49.95
1,4.61,96.8,98.33,50.27
1,4.66,97.7,98.3,50.27
1,4.71,96.49,98.22,50.27
1,4.76,97.5,98.31,50.27
