timestamp,cpu_usr,memory_memused,memory_commit,cpu_usr2,memory_memused2,memory_commit2,cpu_usr3,memory_memused3,memory_commit3,cpu_usr4,memory_memused4,memory_commit4,cpu_usr5,memory_memused5,memory_commit5,cpu_usr6,memory_memused6,memory_commit6,cpu_usr7,memory_memused7,memory_commit7
1.01,0.3,91.22,12.2,0.3,93,12.57,0.3,92.29,13.8,0.3,91.1,13.86,0.3,91.01,12.42,0.91,89.69,14.21,0.3,92.61,11.54
1.06,1.81,91.28,12.51,0.8,93.06,12.57,2.01,92.35,13.86,0.9,91.16,14.06,1.71,91.07,12.62,0.2,89.71,14.21,1.91,92.66,11.73
1.11,0.1,91.28,12.51,0.2,93.06,12.57,0.1,92.35,13.86,0.1,91.16,14.06,0.1,91.07,12.62,0.2,89.75,14.21,0.1,92.66,11.73
1.16,0.1,91.28,12.51,0,93.06,12.57,0,92.35,13.86,0.1,91.16,14.06,0,91.07,12.62,1.51,89.74,14.21,0.1,92.66,11.73
1.21,0,91.28,12.51,0.1,93.06,12.57,0.1,92.35,13.86,0.1,91.16,14.06,0.1,91.07,12.62,0.1,89.74,14.21,0.1,92.66,11.73
1.26,0,91.28,12.51,0,93.06,12.57,0.1,92.35,13.86,0,91.16,14.06,0.1,91.07,12.62,0,89.76,14.21,0.1,92.66,11.73
1.31,0.2,91.28,12.51,0.1,93.05,12.57,0.1,92.35,13.86,0.1,91.16,14.06,0,91.07,12.62,0,89.76,14.21,0.1,92.66,11.73
1.36,0,91.28,12.51,0.1,93.05,12.57,0.1,92.35,13.86,0,91.16,14.06,0.1,91.07,12.62,0,89.76,14.21,0,92.66,11.73
1.41,0.2,91.28,12.51,0,93.05,12.57,0,92.35,13.86,0.1,91.16,14.06,0.1,91.07,12.62,0.1,89.76,14.21,0,92.66,11.73
1.46,0,91.28,12.51,0.1,93.06,12.57,0.1,92.35,13.86,0,91.16,14.06,0,91.07,12.62,0.1,89.76,14.21,0,92.66,11.73
1.51,0,91.28,12.51,0.1,93.06,12.57,0.1,92.35,13.86,0.1,91.16,14.06,0.1,91.07,12.62,0,89.76,14.21,0,92.66,11.73
1.56,0,91.28,12.51,0.1,93.06,12.57,0.1,92.35,13.86,0.1,91.16,14.06,0.1,91.07,12.62,0.1,89.76,14.21,0.1,92.66,11.73
1.61,0.1,91.28,12.51,0,93.05,12.57,0.1,92.35,13.86,0,91.16,14.06,0,91.07,12.62,0.2,89.75,14.21,0,92.66,11.73
1.66,0.1,91.28,12.51,0.1,93.05,12.57,0,92.35,13.86,0,91.16,14.06,0.1,91.07,12.62,0,89.75,14.21,0.1,92.66,11.73
1.71,0.1,91.28,12.51,0.1,93.05,12.57,1.26,94,13.86,0.1,91.16,14.06,0.1,91.07,12.62,0.1,89.75,14.21,0.2,92.92,11.73
