timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,0.3,0.3,0.3,0.3,0.3,0.91,0.3
1.06,1.81,0.8,2.01,0.9,1.71,0.2,1.91
1.11,0.1,0.2,0.1,0.1,0.1,0.2,0.1
1.16,0.1,0,0,0.1,0,1.51,0.1
1.21,0,0.1,0.1,0.1,0.1,0.1,0.1
1.26,0,0,0.1,0,0.1,0,0.1
1.31,0.2,0.1,0.1,0.1,0,0,0.1
1.36,0,0.1,0.1,0,0.1,0,0
1.41,0.2,0,0,0.1,0.1,0.1,0
1.46,0,0.1,0.1,0,0,0.1,0
1.51,0,0.1,0.1,0.1,0.1,0,0
1.56,0,0.1,0.1,0.1,0.1,0.1,0.1
1.61,0.1,0,0.1,0,0,0.2,0
1.66,0.1,0.1,0,0,0.1,0,0.1
1.71,0.1,0.1,1.26,0.1,0.1,0.1,0.2
1.76,0,0.1,0.41,0,0.1,0.1,0.92
1.81,0.91,2.56,11.65,1.52,3.58,2.23,2.75
1.86,3.12,1.96,70.55,2.8,1.64,3.21,2.68
1.91,2.08,1.14,76.11,2.39,1.64,1.23,0.93
1.96,35.23,25.36,0.63,31.31,5.85,2.79,11.26
2.01,60.14,67.07,15.54,56.97,85.14,53.37,90.4
2.06,0.2,0.1,2.54,0.2,0.2,37.19,6.95
2.11,0.3,0,3.78,0,0.1,0.9,0.8
2.16,44.9,43.22,26.56,45.69,44.87,45.13,46.3
2.21,6.82,7.33,88.06,5.61,5.96,6.3,5
2.26,4.82,5.91,78.62,5.17,3.85,5.42,2.98
2.31,5.88,2.54,91.1,5.86,4,3.74,3.59
2.36,6.81,32.84,88.99,1.55,6.77,1.28,1.8
2.41,86.97,90.31,90.28,72.69,78.41,0.73,36.06
2.46,81.72,85.97,89.18,85.37,87,86.04,91.89
2.51,93.7,97,97.2,92.9,93.99,84.22,85.31
2.56,97,96.3,96.9,96.1,96,93.9,96.5
2.61,96.2,97.1,97.61,96.5,96.7,96.4,96.4
2.66,96.8,97.1,96.7,97.4,97.3,95.99,97.5
2.71,96.4,95.8,97,95.3,97,97.5,96.6
2.76,97.1,97.5,96.6,97.4,94.3,60.38,96.69
2.81,95.8,96.3,97,96.89,96.8,24.22,97.6
2.86,95.89,97.01,97,97.5,96.6,39.13,97
2.91,96.4,97.1,97.4,96.5,97.11,51.16,97.1
2.96,96.8,96.9,97,97.6,97.4,95.91,96.8
3.01,96.8,96.5,98.2,97.1,97.49,97,97.4
3.06,97.3,96.3,96.7,97.3,97.6,96.6,96.3
3.11,96.4,96.6,97.2,96.3,96.7,97.5,97.5
