timestamp,node1,node2,node3,node4,node5,node6,node7
1.01,12.2,12.57,13.8,13.86,12.42,14.21,11.54
1.06,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.11,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.16,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.21,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.26,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.31,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.36,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.41,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.46,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.51,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.56,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.61,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.66,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.71,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.76,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.81,12.51,12.57,13.86,14.06,12.62,14.21,11.73
1.86,12.51,12.57,22.1,14.06,12.62,14.21,11.73
1.91,12.51,12.57,25.56,14.06,12.62,14.21,11.73
1.96,19.37,19.38,25.56,21.97,12.62,14.21,11.73
2.01,20.47,20.56,26.26,23.96,20.75,22.35,19.21
2.06,20.47,20.56,26.26,23.96,20.75,23.35,19.94
2.11,20.47,20.56,26.26,23.96,20.75,23.35,19.94
2.16,24.61,24.76,28.67,25.59,25.07,26.13,23.78
2.21,24.61,24.76,35.09,25.59,25.07,26.13,23.78
2.26,24.61,24.76,51.2,25.59,25.07,26.13,23.78
2.31,24.61,24.76,51.2,25.59,25.07,26.13,23.78
2.36,24.81,27.29,51.2,25.59,25.07,26.13,23.78
2.41,31.1,40.67,51.77,32.43,32.01,26.13,26.5
2.46,49.62,49.95,51.77,51.32,46.84,31.25,37.52
2.51,49.62,49.95,52.41,51.32,49.93,51.93,48.58
2.56,49.62,49.95,52.41,51.32,49.93,52.23,48.58
2.61,49.62,49.95,52.41,51.32,49.93,52.23,48.16
2.66,49.62,49.95,52.41,51.32,49.93,52.23,48.59
2.71,49.62,49.95,52.41,51.32,49.93,52.23,48.61
2.76,49.62,49.95,52.41,51.32,49.93,52.23,48.61
2.81,49.62,49.95,52.41,51.32,49.93,52.23,48.61
2.86,49.62,49.95,52.41,51.32,49.93,52.23,48.61
2.91,49.62,49.95,52.41,51.32,49.93,52.23,48.61
2.96,49.62,49.95,52.41,51.32,49.93,52.23,48.61
3.01,49.62,49.95,52.41,51.32,49.93,52.23,48.61
3.06,49.62,49.95,52.41,51.32,49.93,52.23,48.61
3.11,49.62,49.95,52.41,51.32,49.93,52.23,48.61
