timestamp,cpu_usr,memory_memused,memory_commit
1.01,0.3,93,12.57
1.06,0.8,93.06,12.57
1.11,0.2,93.06,12.57
1.16,0,93.06,12.57
1.21,0.1,93.06,12.57
1.26,0,93.06,12.57
1.31,0.1,93.05,12.57
1.36,0.1,93.05,12.57
1.41,0,93.05,12.57
1.46,0.1,93.06,12.57
1.51,0.1,93.06,12.57
1.56,0.1,93.06,12.57
1.61,0,93.05,12.57
1.66,0.1,93.05,12.57
1.71,0.1,93.05,12.57
1.76,0.1,93.06,12.57
1.81,2.56,93.63,12.57
1.86,1.96,94.08,12.57
1.91,1.14,94.41,12.57
1.96,25.36,96.78,19.38
2.01,67.07,98.17,20.56
2.06,0.1,98.17,20.56
2.11,0,98.17,20.56
2.16,43.22,98.36,24.76
2.21,7.33,98.31,24.76
2.26,5.91,98.54,24.76
2.31,2.54,98.47,24.76
2.36,32.84,98.23,27.29
2.41,90.31,98.23,40.67
2.46,85.97,98.25,49.95
2.51,97,98.52,49.95
2.56,96.3,98.27,49.95
2.61,97.1,98.38,49.95
2.66,97.1,98.47,49.95
2.71,95.8,98.47,49.95
2.76,97.5,98.49,49.95
2.81,96.3,98.51,49.95
2.86,97.01,97.99,49.95
2.91,97.1,98.32,49.95
2.96,96.9,98.27,49.95
3.01,96.5,98.31,49.95
3.06,96.3,98.36,49.95
3.11,96.6,98.41,49.95
3.16,97.2,98.39,49.95
3.21,96.9,98.29,49.95
3.26,97.2,98.34,49.95
3.31,96.5,98.29,50.3
3.36,96.8,98.42,50.6
3.41,97.1,98.34,50.6
3.46,96.8,98.28,50.6
3.51,96.8,98.47,50.6
3.56,97.1,98.24,50.6
3.61,97.3,98.41,50.6
3.66,97,98.19,50.6
3.71,96.21,98.27,50.6
3.76,96.3,98.42,50.6
3.81,97.1,98.46,50.6
3.86,97.6,98.18,50.6
3.91,97.2,98.47,50.6
3.96,96.6,98.25,50.6
4.01,97.4,98.25,50.6
4.06,97,98.32,50.6
4.11,96.39,98.31,50.6
4.16,96.2,98.25,50.6
4.21,97.11,98.43,50.6
4.26,96.8,98.4,50.6
4.31,97.1,98.52,50.6
4.36,96.69,98.21,50.6
4.41,97.2,98.37,50.6
4.46,96.9,98.41,50.6
4.51,96.9,98.11,50.6
4.56,96.59,98.55,50.6
4.61,97.6,98.38,50.6
4.66,96.6,98.45,50.6
4.71,97.1,98.37,50.8
4.76,96.7,98.46,50.6
4.81,97.5,98.48,50.6
4.86,96.4,98.3,50.6
4.91,96.7,98.21,50.6
4.96,96.9,98.3,50.6
5.01,97.3,98.55,50.6
5.06,97.1,98.3,50.6
5.11,96.6,98.3,50.6
5.16,96.7,98.28,50.6
5.21,97.2,98.25,50.6
5.26,97.7,98.37,50.6
5.31,97.3,98.35,50.6
5.36,97,98.3,50.6
5.41,97.7,98.5,50.6
5.46,96.8,98.42,50.6
5.51,97,98.22,50.6
5.56,97.2,98.14,50.6
5.61,97.3,98.32,50.6
5.66,96.9,98.28,50.6
5.71,96.4,98.34,50.6
5.76,95.5,98.23,50.6
5.81,75.23,98.53,50.6
5.86,0.5,98.53,50.6
5.91,27.78,98.09,50.6
5.96,22.11,98.03,50.39
6.01,24.72,97.89,50.39
6.06,24.14,97.81,50.39
6.11,25.23,97.75,50.39
6.16,23.44,97.76,50.19
6.21,34.34,98.32,50.82
6.26,91.9,98.28,59.63
6.31,29.13,98.18,60.88
6.36,2.73,98.39,60.88
6.41,1,98.38,60.88
6.46,1.11,98.39,60.88
6.51,0.7,98.35,60.88
6.56,0.8,98.35,60.88
6.61,0.5,98.36,60.88
6.66,1.61,98.35,60.88
6.71,0.4,98.36,60.88
6.76,0.5,98.34,60.88
6.81,0.4,98.35,60.88
6.86,0.5,98.33,60.88
6.91,0.5,98.21,60.88
6.96,2.4,51.52,11.83
7.01,3.02,51.8,11.73
