timestamp,node1,node2,node3,node4,node5,node6
1.01,2.15,2.67,1.54,0.01,1.09,0.73
1.06,0.83,2.62,0.52,0.2,1.48,0.7
1.11,1.94,2.42,1.43,0.1,0.27,0.6
1.16,1.74,2.32,1.43,0.2,1.57,0.6
1.21,1.94,2.52,1.53,1.42E-14,0.26,0.7
1.26,1.84,2.52,1.43,1.42E-14,0.18,0.7
1.31,1.73,2.32,1.33,0.3,0.02,0.5
1.36,1.93,2.52,1.43,1.42E-14,0.18,0.6
1.41,1.63,2.22,1.33,0.2,0.08,0.4
1.46,1.94,2.52,1.43,0.1,0.28,0.6
1.51,1.94,2.52,1.53,1.42E-14,0.18,0.6
1.56,1.94,2.52,1.53,1.42E-14,0.28,0.7
1.61,1.73,2.42,1.33,0.2,0.27,0.5
1.66,1.83,2.32,1.33,0.1,0.07,0.6
1.71,1.83,5.23,1.43,0.1,0.17,0.96
1.76,1.94,4.48,1.43,1.42E-14,0.27,2.34
1.81,3.82,16.62,2.1,2.81,1.61,3.6
1.86,0.91,83.19,1.15,1.52,0.27,1.17
1.91,0.87,92.8,1.74,0.67,0.89,0.21
1.96,8.71,25.69,1.42,38.2,41.52,31.25
2.01,8.2,37.32,0.46,25.1,7.3,30.53
2.06,1.17,9.66,3.63,0,38.56,7.77
2.11,0.97,10.65,3.33,0.2,2.18,1.44
2.16,1.52,14.07,1.85,0.41,1.83,0.58
2.21,0.57,91.77,0.19,0.41,1.07,2.7
2.26,1.22,100.04,1.31,0.65,1.96,2.82
2.31,3.26,111.56,0.96,1.65,0.66,3.18
2.36,28.53,108.87,4.24,0.34,3.93,5.69
2.41,12.62,23.86,13.13,7.88,91.46,55.41
2.46,4.7,9.7,5.54,2.39,13.94,1.61
2.51,3.73,6.07,1.04,0.63,7.22,9.73
2.56,0.44,2.76,0.72,0.54,0.45,1.61
2.61,1.34,3.94,2.2,0.84,2.94,1.11
2.66,0.88,2.55,2.36,0.98,2.13,0.29
2.71,0.35,3.34,0.38,0.77,3.61,1.15
2.76,1.02,2.62,2.22,2.18,33.75,1.13
2.81,1.01,3.93,2.76,1.3,68.94,0.93
2.86,0.91,3.55,3.33,0.84,54.18,0.14
2.91,1.03,3.91,1.79,1.21,42.63,0.38
2.96,0.15,2.6,2.32,0.7,1.39,1.18
3.01,0.06,4.3,2.05,1.07,2.72,0.32
3.06,0.64,1.93,1.65,0.67,2.14,1.8
3.11,0.66,3.59,1.6,0.67,3.99,0.37
