timestamp,node1,node2,node3,node4,node5,node6
1.01,48.23,32.2,45.38,45.49,44.66,45.45
1.02,77.54,109.87,104.32,132.81,70.88,112.54
1.03,59.36,61.23,16.47,42.94,62.34,20.84
1.04,39.04,24.15,35.63,36.32,32.72,36.22
1.05,41.41,30.42,41.43,21.43,37.12,42.31
1.06,45.21,32.31,44.38,45,41.06,42.77
1.07,53.69,13.19,51.34,51.98,51.45,51.94
1.08,106.61,98.12,104.05,104.9,103.58,105.06
1.09,86.4,77.53,83.93,84.47,82.75,84.62
1.1,87.42,81.24,79.16,88.6,87.02,88.47
1.11,77.54,56.6,74.21,74.6,55.06,70.76
1.12,179.69,169.88,175.42,176.08,156.47,175.49
1.13,195.58,180.45,190.85,191.68,191.84,191.82
1.14,134.9,121.68,129.39,130.14,130.58,128.68
1.15,205.64,191.49,199.21,200.12,201.48,200.17
1.16,74.4,66.42,59.05,53.81,73.51,71.76
1.17,81.84,47,79.05,79.94,73.15,75.12
1.18,80.54,48.05,76.27,77.37,75.93,21.7
1.19,235.06,210.3,228.79,230.06,229.63,222.5
1.2,278.59,262.64,272.26,273.63,273.53,273.95
1.21,223.63,236.16,233.87,228.24,273.55,273.29
1.22,278.92,266.54,251.75,263.04,273.6,273.02
1.23,207.09,192.16,199.94,201.22,184.43,201.19
1.24,78.6,48.7,70.81,71.91,73.73,72.05
1.25,195.51,184.09,187.37,188.37,190.38,188.45
1.26,273.41,261.46,264.43,265.59,268.37,265.54
1.27,277.34,262.54,267.36,268.52,272.3,264.73
1.28,235.63,214.7,221.07,225.89,239.71,140.27
1.29,85.86,63.81,76.56,76.15,73.83,74.42
1.3,78.04,52.05,72.25,70.95,72.23,71.29
1.31,262.86,246.08,256.39,255.17,257.11,256.06
1.32,269.23,232.83,267.79,268.98,271.41,269.84
1.33,184.09,162.18,148.76,148.73,184.61,182.83
1.34,79.56,61.02,70.44,71.42,74.33,71.81
1.35,77.95,48.88,68.98,69.24,72.83,70.77
1.36,231.85,202.24,222.9,222.74,216.01,217.67
1.37,196.37,182.36,187.18,172.54,191.54,184.14
1.38,168.16,170.48,128.03,169.76,173.85,161.96
1.39,77.22,52.52,67,67.49,70.64,68.68
1.4,77.59,67.99,66.78,66.97,70.64,68.85
1.41,189.63,181.35,179.57,180.05,183.38,181.43
1.42,277.77,246.94,265.75,261.05,269.68,267.69
1.43,184.1,196.8,190.31,189.15,199.07,194.78
1.44,29.49,67.31,44.04,18.03,40.66,28
1.45,74.7,64.89,9.12,52.63,69.14,66.06
1.46,49.72,64.71,63.91,55.76,68.71,65.49
1.47,77.68,63.93,63.16,35.21,46.61,65.74
1.48,80.98,64.17,71.07,67.79,68.92,72.77
1.49,78.17,64.98,65.93,64.3,66.91,68.59
1.5,63.75,60.17,14.54,48.66,55.77,57.83
1.51,76.87,62.46,62.44,66.62,66.67,23.06
1.52,61.82,62.29,62.35,63.86,49.57,64.69
1.53,228.29,211.91,213.93,197.85,206.85,215.85
1.54,277.66,243.06,262.64,263.31,266.32,264.77
1.55,206.48,134.12,190.76,191.55,194.73,192.83
1.56,67.1,62.91,58.54,52.57,51.41,22.69
1.57,72.33,64.86,20.66,62.38,67.29,62.16
1.58,68.23,64.28,6.75,28.68,66.18,40.22
1.59,219.87,242.35,213.62,215.43,236.23,188.92
1.6,158.11,171.31,167.89,158.89,172.31,169.82
1.61,77.73,62.82,59.09,31.53,36.14,60.93
1.62,78.28,61.36,59.63,63.88,63.71,65.45
1.63,80.89,61.4,66.7,63.14,63.03,64.31
1.64,199.79,175.43,181.32,181.68,153.59,156.95
1.65,233.56,224.2,179.81,203.85,224.54,211.9
1.66,70.97,62.05,67.54,67.98,61.9,63.99
1.67,86.01,60.18,67.46,52.7,50.97,63.36
1.68,86.31,57.57,67.75,68.04,37.53,68.54
1.69,260.02,228.16,243.71,244.8,244.32,245.21
1.7,263.61,239.61,247.39,248.48,247.84,248.73
1.71,80.46,62.17,67.17,68.39,52.69,68.61
1.72,78.68,62.14,63.68,64.88,64.55,64.78
1.73,202.86,186.35,188.18,188.97,188.61,189.49
1.74,204.1,187.84,188.56,189.1,189.14,189.53
1.75,189.63,173.14,173.57,164.55,174.6,170.9
1.76,180.37,167.7,167.86,166.69,168.48,165.97
1.77,75.3,62.87,61.05,61.94,58.38,61.98
1.78,195,176.47,175.27,176.07,168.47,176.14
1.79,183.86,163.9,172.02,171.6,76.95,171.69
1.8,195.21,175.73,174.61,178.01,179.03,177.88
1.81,203.84,187.19,157.7,187,186.84,187.14
1.82,78.62,60.91,43.17,62,61.45,62.13
1.83,78.86,62.05,60.13,57.76,60.84,32.23
1.84,70.86,61.35,59.99,0.22,43.74,27.56
1.85,24.2,60.88,59.33,59.24,55.27,59.55
1.86,187.59,164.71,166.21,166.35,166.84,166.77
1.87,183.37,163.13,160.41,162.04,161.15,160.89
1.88,191.87,173.26,171.86,174.26,176.79,175.45
1.89,226.44,208.77,146.51,201.25,209.43,206.4
1.9,78.87,60.9,55.93,59.58,54.35,58.58
1.91,58.66,60.95,56.3,58.9,58.07,58.02
1.92,198.76,177.27,177.92,131.25,176.96,160.39
1.93,190.31,171.31,168.93,159.34,114.7,150.86
1.94,170.82,164.27,159.89,162.42,160.25,161.61
1.95,88.63,70.18,70.2,65.75,66.75,66.87
1.96,64.96,63,62.02,55.35,61.02,46.82
1.97,78.44,59.95,56.39,56.16,56.83,56.89
1.98,66.44,60.2,56.46,54.85,56.87,51.44
1.99,78.7,65.67,55.06,55.26,55.87,57.2
2,86.8,69.28,39.63,29.03,56.98,53.25
2.01,216.13,173.75,181.91,191.38,185.27,194.35
2.02,77.95,60.08,58.93,59.11,58.07,56.28
2.03,79.1,60.69,59.6,56.66,60.53,57.58
2.04,183.96,171.19,165.9,159.91,162.2,162.6
2.05,181.42,164.29,162.22,157.01,157.26,159.88
2.06,176.53,161.05,155.58,147.15,154.28,154.99
2.07,184.53,169.25,163.26,154.3,129.38,164.9
2.08,76.42,61.19,20.28,51.83,52.4,56.29
2.09,76.68,63.97,53.26,50.63,51.36,57.2
2.1,75.67,60.29,51.52,47.72,56.29,56.74
2.11,182,166.52,159.58,158.19,163.9,161.11
2.12,72.34,60.98,55.56,53.51,54.9,55.29
2.13,178.05,172.07,158.96,156.35,157.43,159.58
2.14,72.15,76.3,52.66,51.82,47.35,50.79
2.15,76.29,82,52.19,31.37,45.76,54.1
2.16,166.98,185.54,149.82,141.89,156.27,157.78
2.17,160.27,187.41,159.88,160.36,159.1,133.13
2.18,187.6,186.79,153.91,163.54,164.88,152.05
2.19,182.79,182.65,156.25,158.18,157.87,160.97
2.2,75.96,73.59,52.01,49.07,48.31,54.87
2.21,76.28,73.71,46.43,35.72,45.54,55.59
2.22,76.7,75.12,46.17,48.46,46.69,56.06
2.23,177.96,175.39,147.69,145.35,137.31,156.55
2.24,205.85,203.85,157.44,175.97,168.33,184.86
2.25,178.35,174.93,148.27,147.41,148.73,157.33
2.26,82.44,78.33,52.99,39.3,41.07,61.8
2.27,86.71,68.5,14.86,46.78,12.97,73.87
2.28,180.38,179.56,157.88,139.43,158.73,166.46
2.29,181.87,180.49,159.33,156.17,160.8,166.99
2.3,182.47,181.5,160.22,143.35,160.23,166.02
2.31,179.95,177.05,153.92,158.6,154.35,160.54
2.32,77.39,16.11,51.52,53.52,52.78,58.49
2.33,77.25,73.22,51.98,52.14,52.81,58.42
2.34,77.04,72.81,51.67,51.58,52.82,58.35
2.35,76.78,71.71,46.64,41.58,30.49,55.66
2.36,56.25,71.84,25.93,56.15,43.26,37.04
2.37,202.63,189.93,182.34,179.82,183.33,184.55
2.38,84.73,59.82,63.83,63.05,63.88,64.38
2.39,84.01,68.89,64.27,64.43,64.82,67.39
2.4,92.11,82.17,80.43,71.79,72.83,75.57
2.41,92.34,78.13,88.07,88.58,85.03,89.39
2.42,184.46,175.44,183.53,184.25,180.43,184.66
2.43,197.59,166.74,194.5,193.82,192.57,194.41
2.44,80.06,60.98,77.29,78.02,76.19,78.57
2.45,194.89,194.39,192.36,192.91,191.31,193.36
2.46,187.94,183.84,184.86,185.45,184.08,185.77
2.47,77.36,70.52,73.97,74.44,64.91,74.97
2.48,77.44,73.2,73.91,74.58,75.94,75.01
2.49,192.59,185.43,188.17,188.9,171.24,182.47
2.5,205.55,198.13,201.14,201.79,201.64,190.88
2.51,77.09,68.62,71.61,72.32,72.69,72.87
2.52,77.54,69.26,71.39,70.59,72.57,72.57
